标题,链接,发布时间,内容
百分百跌下来,"https://guba.eastmoney.com/news,600809,882815975.html",2019-10-28 09:28:15,百分百跌下来
流弊啊,"https://guba.eastmoney.com/news,600809,882812672.html",2019-10-28 09:22:10,流弊啊
一个跌停最少,"https://guba.eastmoney.com/news,600809,882778915.html",2019-10-27 20:39:28,
顺鑫农业三季度净利大降70%，山西汾酒三季度净利大涨33%，业绩差距太大，明天一,"https://guba.eastmoney.com/news,600809,882773021.html",2019-10-27 18:53:03,顺鑫农业三季度净利大降70%，山西汾酒三季度净利大涨33%，业绩差距太大，明天一个跌停，一个涨停
好酒一个,"https://guba.eastmoney.com/news,600809,882772681.html",2019-10-27 18:45:39,好酒一个
2019年三季报点评：业绩超预期，省外开拓成效显著,"https://guba.eastmoney.com/news,600809,882764518.html",2019-10-27 16:09:03,
请教各位大佬,"https://guba.eastmoney.com/news,600809,882754816.html",2019-10-27 12:50:33,为何预收款和存货都大幅度增高？一个提示供不应求一个供大于求，互相矛盾的信息。
老四大名酒之首汾酒昔日辉煌还能重现吗？,"https://guba.eastmoney.com/news,600809,882725380.html",2019-10-26 20:30:32,老四大名酒之首 汾酒昔日辉煌 还能重现吗？
漂亮，香港中央结算增持，要知道他是减持为主的，这里就不点名了，有兴趣的朋友，可以,"https://guba.eastmoney.com/news,600809,882702067.html",2019-10-26 12:50:27,漂亮，香港中央结算增持，要知道他是减持为主的，这里就不点名了，有兴趣的朋友，可以去翻翻
诊断一下为啥吧里有人每天都自言自语,"https://guba.eastmoney.com/news,600809,882694379.html",2019-10-26 10:48:52,请高人指点，吧里有人学医的吗。谢谢。
你赢利超过了200倍？山西汾酒股价5年内将上500元以上，价值规律无可阻挡,"https://guba.eastmoney.com/news,600809,821121808.html",2019-04-29 17:26:42,"达到“股龄 • 赢利倍数 > 2500”者，


其对股市的看法才会靠谱。


否则几乎统统都是胡言乱语。"
区块链汾酒，用去中心化验证汾酒真假,"https://guba.eastmoney.com/news,600809,882695219.html",2019-10-26 11:01:45,区块链汾酒，用去中心化验证汾酒真假
同比增53%，白酒第一。汾酒发展潜力大。,"https://guba.eastmoney.com/news,600809,882640034.html",2019-10-25 19:31:26,"同比增53%，白酒第一。
汾酒发展潜力大。"
业绩还行吧，比洋哥高[想一下][想一下][想一下][想一下],"https://guba.eastmoney.com/news,600809,882628264.html",2019-10-25 17:51:15,业绩还行吧，比洋哥高
同比单季增长53%.创25年最好业绩。汾酒飘香万里。,"https://guba.eastmoney.com/news,600809,882611930.html",2019-10-25 16:10:16,"同比单季增长53%.
创25年最好业绩。
汾酒飘香万里。"
增速加快了！这是要大涨啊,"https://guba.eastmoney.com/news,600809,882608400.html",2019-10-25 15:47:09,增速加快了！这是要大涨啊
业绩超预期！！,"https://guba.eastmoney.com/news,600809,882607436.html",2019-10-25 15:40:44,下周带领白酒板块大反弹！
业绩还不错,"https://guba.eastmoney.com/news,600809,882606990.html",2019-10-25 15:38:29,业绩还不错
马上要拉升了，业绩差不多要知道了,"https://guba.eastmoney.com/news,600809,882573665.html",2019-10-25 14:17:26,马上要拉升了，业绩差不多要知道了
看来都不看好三季报，各位我先闪了，留一手当底仓！,"https://guba.eastmoney.com/news,600809,882556684.html",2019-10-25 13:46:22,看来都不看好三季报，各位我先闪了，留一手当底仓！
好怕是三季报之前的一次洗盘,"https://guba.eastmoney.com/news,600809,882551269.html",2019-10-25 13:34:56,好怕是三季报之前的一次洗盘
大神真多，搞得什么都知道了一样。拉高出货都知道[赞],"https://guba.eastmoney.com/news,600809,882547669.html",2019-10-25 13:26:42,大神真多，搞得什么都知道了一样。拉高出货都知道
诱来了,"https://guba.eastmoney.com/news,600809,882540480.html",2019-10-25 13:08:29,诱来了
应该有机构提前知道财报数据，典型的拉高跑路,"https://guba.eastmoney.com/news,600809,882536001.html",2019-10-25 12:35:15,应该有机构提前知道财报数据，典型的拉高跑路
建议空仓吧，最近跌的莫名其妙[献花],"https://guba.eastmoney.com/news,600809,882532888.html",2019-10-25 12:05:44,建议空仓吧，最近跌的莫名其妙
第三季度不及预期啊,"https://guba.eastmoney.com/news,600809,882530195.html",2019-10-25 11:46:08,第三季度不及预期啊
跌倒80我考虑买200股打底,"https://guba.eastmoney.com/news,600809,882207996.html",2019-10-24 09:16:04,跌倒80我考虑买200股打底
