股票代码,中性情绪均值,非中性文本占比,positive占比,negative占比
7,0.9999088507432204,0.0,0.0,0.0
8,0.9998381674289704,0.16666666666666666,0.08333333333333333,0.08333333333333333
10,0.9999079604943594,0.14285714285714285,0.0,0.14285714285714285
12,0.9999015927314758,0.0,0.0,0.0
18,0.9987067937850952,0.0,0.0,0.0
33,0.9999104738235474,0.0,0.0,0.0
78,0.9654884154979999,0.0,0.0,0.0
155,0.9667665561040243,0.0,0.0,0.0
417,,1.0,1.0,0.0
509,0.9999072154362997,0.0,0.0,0.0
543,0.9999110698699951,0.0,0.0,0.0
558,0.9998931884765624,0.0,0.0,0.0
561,0.9998620748519896,0.5,0.0,0.5
650,0.9999130964279176,0.0,0.0,0.0
651,0.9998000860214233,0.5,0.0,0.5
659,0.9998939752578735,0.0,0.0,0.0
662,0.9993764852222643,0.0,0.0,0.0
673,0.9996656681361952,0.05,0.0,0.05
693,0.9998915135860443,0.09090909090909091,0.0,0.09090909090909091
715,0.9998068585991859,0.0,0.0,0.0
729,0.9999122619628906,0.0,0.0,0.0
739,0.9925336241722107,0.0,0.0,0.0
761,0.9998856633901596,0.0,0.0,0.0
767,0.9999109268188476,0.0,0.0,0.0
799,0.9999067272458758,0.0,0.0,0.0
802,0.9646164327859879,0.14285714285714285,0.0,0.14285714285714285
812,0.9999060034751892,0.2,0.2,0.0
815,0.9998952820897102,0.0,0.0,0.0
818,0.9998038530349731,0.0625,0.0,0.0625
859,0.9998798370361328,0.0,0.0,0.0
892,0.9999078810214996,0.0,0.0,0.0
897,0.9270052115122477,0.0,0.0,0.0
898,0.9998856633901596,0.0,0.0,0.0
912,0.9998651742935181,0.0,0.0,0.0
927,0.999910444021225,0.0,0.0,0.0
935,0.9999113253184727,0.0,0.0,0.0
939,0.9965116435831244,0.0,0.0,0.0
977,0.999827653169632,0.0,0.0,0.0
980,0.9988212704658508,0.16666666666666666,0.16666666666666666,0.0
1696,0.9999101559321085,0.25,0.0,0.25
2011,0.9998743534088136,0.0,0.0,0.0
2018,0.9973849356174469,0.0,0.0,0.0
