股票代码,情绪标签,情绪分数,中性情绪均值,非中性文本占比,positive占比,negative占比
600141,neutral,0.997158408164978,0.999901294708252,0.0,0.0,0.0
2453,neutral,0.9999077320098876,0.9995767644473484,0.0,0.0,0.0
2030,neutral,0.9999116659164428,0.9999112884203593,0.0,0.0,0.0
600076,negative,0.9995680451393129,0.7605263888835907,0.3333333333333333,0.0,0.3333333333333333
600850,neutral,0.9999126195907592,0.9999077320098877,0.2,0.0,0.2
600569,neutral,0.3680196702480316,0.9997041171247308,0.08333333333333333,0.0,0.08333333333333333
600569,negative,0.9996114373207092,0.9997041171247308,0.08333333333333333,0.0,0.08333333333333333
662,neutral,0.9998993873596193,0.9993764852222643,0.0,0.0,0.0
662,neutral,0.9997991919517516,0.9993764852222643,0.0,0.0,0.0
662,neutral,0.9988484382629396,0.9993764852222643,0.0,0.0,0.0
2437,negative,0.9996086955070496,0.999904990196228,0.3333333333333333,0.3333333333333333,0.0
600875,neutral,0.999902367591858,0.9999094605445862,0.3333333333333333,0.0,0.3333333333333333
600487,positive,0.9984521865844728,0.9998969926553614,0.0,0.0,0.0
600487,neutral,0.9999101161956788,0.9998969926553614,0.0,0.0,0.0
977,neutral,0.9999018907546996,0.999827653169632,0.0,0.0,0.0
729,neutral,0.9999135732650756,0.9999122619628906,0.0,0.0,0.0
600060,neutral,0.9999125003814696,0.9998880624771118,0.0,0.0,0.0
600060,positive,0.9994961023330688,0.9998880624771118,0.0,0.0,0.0
1696,neutral,0.9998843669891356,0.9999101559321085,0.25,0.0,0.25
600028,neutral,0.9999123811721802,0.9999027252197266,0.0,0.0,0.0
600265,neutral,0.9513635039329528,0.999905560697828,0.06666666666666667,0.0,0.06666666666666667
600265,neutral,0.9999098777770996,0.999905560697828,0.06666666666666667,0.0,0.06666666666666667
600265,positive,0.9997718930244446,0.999905560697828,0.06666666666666667,0.0,0.06666666666666667
300388,neutral,0.9998989105224608,0.9999105781316757,0.1111111111111111,0.1111111111111111,0.0
600872,neutral,0.9999125003814696,0.9999105078833443,0.0,0.0,0.0
2241,neutral,0.9999127388000488,0.999908983707428,0.0,0.0,0.0
600110,neutral,0.9999099969863892,0.9999008417129517,0.0,0.0,0.0
927,neutral,0.9987806677818298,0.999910444021225,0.0,0.0,0.0
2174,neutral,0.9999139308929444,0.9999072551727295,0.0,0.0,0.0
600587,negative,0.999543070793152,0.9999106923739115,0.14285714285714285,0.0,0.14285714285714285
300104,neutral,0.9999127388000488,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9999104738235474,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9999115467071532,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.999913454055786,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9998899698257446,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9999127388000488,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9999077320098876,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9999141693115234,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9999040365219116,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
300104,neutral,0.9997096657752992,0.9998862743377686,0.038461538461538464,0.038461538461538464,0.0
601928,neutral,0.9999123811721802,0.9999114274978638,0.0,0.0,0.0
2468,positive,0.9954187870025636,0.9881515231999484,0.0,0.0,0.0
2468,negative,0.999372899532318,0.9881515231999484,0.0,0.0,0.0
600573,neutral,0.9999061822891236,0.9999101161956788,0.5,0.0,0.5
2036,negative,0.9996169805526732,0.999883845448494,0.0,0.0,0.0
601766,neutral,0.9998968839645386,0.9998996938977923,0.2222222222222222,0.2222222222222222,0.0
601766,neutral,0.9999103546142578,0.9998996938977923,0.2222222222222222,0.2222222222222222,0.0
300368,neutral,0.9999020099639891,0.9713467796643575,0.0,0.0,0.0
715,negative,0.995943009853363,0.9998068585991859,0.0,0.0,0.0
300393,neutral,0.9999130964279176,0.9993440806865692,0.0,0.0,0.0
300359,negative,0.999614953994751,0.9999049305915833,0.0,0.0,0.0
600986,neutral,0.9995880722999572,0.9999037583669027,0.0,0.0,0.0
2206,negative,0.9995991587638856,0.9998308539390564,0.0,0.0,0.0
603606,neutral,0.9999135732650756,0.999914288520813,0.0,0.0,0.0
300372,neutral,0.9999114274978638,0.9998981621530321,0.0,0.0,0.0
8,neutral,0.9999128580093384,0.9998381674289704,0.16666666666666666,0.08333333333333333,0.08333333333333333
2213,neutral,0.9879148006439208,0.9998966455459595,0.0,0.0,0.0
2213,neutral,0.9998321533203124,0.9998966455459595,0.0,0.0,0.0
600645,negative,0.5672026872634888,0.9999068200588226,0.0,0.0,0.0
600645,positive,0.9996589422225952,0.9999068200588226,0.0,0.0,0.0
2505,neutral,0.9999099969863892,0.999909833073616,0.0,0.0,0.0
2020,neutral,0.9998867511749268,0.9998684078454971,0.0,0.0,0.0
2567,positive,0.9997628331184388,0.9996417164802551,0.0,0.0,0.0
600247,negative,0.9979547262191772,0.999790894985199,0.0,0.0,0.0
300169,neutral,0.9993020296096802,0.9999101559321085,0.0,0.0,0.0
600137,neutral,0.9998036026954652,0.9945237453167255,0.0,0.0,0.0
600137,negative,0.999142289161682,0.9945237453167255,0.0,0.0,0.0
600733,neutral,0.9998619556427002,0.9999077518781027,0.0,0.0,0.0
600592,positive,0.9993115663528442,0.9998960892359415,0.0,0.0,0.0
600853,neutral,0.9999130964279176,0.9998089149594307,0.0,0.0,0.0
600853,positive,0.9997771382331848,0.9998089149594307,0.0,0.0,0.0
300164,neutral,0.999883770942688,0.9998889029026031,0.16666666666666666,0.08333333333333333,0.08333333333333333
601111,neutral,0.9999020099639891,0.9998918573061625,0.0,0.0,0.0
600029,neutral,0.9999020099639891,0.9998918573061625,0.0,0.0,0.0
600456,neutral,0.9999116659164428,0.8983389735221863,0.0,0.0,0.0
2671,neutral,0.9999041557312012,0.9998120844364167,0.2857142857142857,0.21428571428571427,0.07142857142857142
2671,neutral,0.9936654567718506,0.9998120844364167,0.2857142857142857,0.21428571428571427,0.07142857142857142
2570,neutral,0.9999041557312012,0.9999069273471832,0.2,0.0,0.2
600186,negative,0.9852842688560486,0.9999094903469086,0.0,0.0,0.0
600485,neutral,0.9999120235443116,0.9997728615999222,0.2,0.2,0.0
600485,negative,0.9384232759475708,0.9997728615999222,0.2,0.2,0.0
812,neutral,0.9997788071632384,0.9999060034751892,0.2,0.2,0.0
300135,neutral,0.9999133348464966,0.9999085664749146,0.0,0.0,0.0
300466,neutral,0.9999085664749146,0.9997973322868348,0.2857142857142857,0.14285714285714285,0.14285714285714285
600103,neutral,0.9999008178710938,0.9998936951160431,0.0,0.0,0.0
600401,neutral,0.9999045133590698,0.9996079859279451,0.125,0.0,0.125
600401,negative,0.9996155500411988,0.9996079859279451,0.125,0.0,0.125
600401,negative,0.9994863271713256,0.9996079859279451,0.125,0.0,0.125
600401,negative,0.9993177652359008,0.9996079859279451,0.125,0.0,0.125
600332,neutral,0.9998785257339478,0.9999035994211832,0.18181818181818182,0.09090909090909091,0.09090909090909091
600332,positive,0.9966435432434082,0.9999035994211832,0.18181818181818182,0.09090909090909091,0.09090909090909091
600332,neutral,0.9999120235443116,0.9999035994211832,0.18181818181818182,0.09090909090909091,0.09090909090909091
2131,neutral,0.999874711036682,0.9998482227325439,0.0,0.0,0.0
300211,neutral,0.9999115467071532,0.9880905151367188,0.0,0.0,0.0
600765,neutral,0.9999091625213624,0.9999018609523773,0.2,0.2,0.0
600393,neutral,0.9997929930686952,0.9999094307422638,0.0,0.0,0.0
600393,neutral,0.9999127388000488,0.9999094307422638,0.0,0.0,0.0
603366,negative,0.9995042085647584,0.9999072551727295,0.0,0.0,0.0
12,neutral,0.9998960494995116,0.9999015927314758,0.0,0.0,0.0
600696,neutral,0.999911904335022,0.9998778658253806,0.06666666666666667,0.0,0.06666666666666667
600671,neutral,0.9998304843902588,0.9999105589730399,0.125,0.0,0.125
