发布时间,标题中性分数,标题积极分数,标题消极分数,评论中性分数,评论积极分数,评论消极分数
2015-05-08,0.9999136924743652,0.0,0.0,0.9997827410697937,0.0,0.0
2015-07-07,0.9999001026153564,0.0,0.0,0.999909520149231,0.0,0.0
2015-07-30,0.999900221824646,0.0,0.0,0.9998971223831177,0.0,0.0
2015-08-04,0.9998939037322998,0.0,0.0,0.9999108910560608,0.0,0.0
2015-08-06,0.8783243000507355,0.0,0.0681024432182312,0.9946993708610534,0.0,0.0
2015-08-07,0.8066750897301568,0.11108331547843085,0.042144834995269775,0.8332312371995714,0.05554229352209303,0.07359914978345235
2015-08-08,0.9998852440289089,0.0,0.0,0.857031660420554,0.0,0.13880785022463119
2015-08-09,0.9998053088784218,0.0,0.0,0.8684236109256744,0.12497002631425858,0.0
2015-08-10,0.827410667107023,0.1228167805178412,0.030613366899819208,0.8610507743111973,0.07893090001468,0.030613366899819208
2015-08-11,0.9269563476244609,0.0,0.06652888456980387,0.927735177675883,0.0,0.06663000186284383
2015-08-12,0.8427256345748901,0.06969933818887782,0.07404411722112585,0.8476517288773148,0.1046145271371912,0.03702252220224451
2015-08-13,0.66242316365242,0.19949833913282913,0.0908574028448625,0.8035548627376556,0.089523277499459,0.0908574028448625
2015-08-14,0.49977363646030426,0.49960125982761383,0.0,0.7499016970396042,0.24969400465488434,0.0
