发布时间,标题标签,标题分数,内容标签,内容分数
2021-02-09 11:03:17,neutral,0.9993811845779419,neutral,0.9993811845779419
2021-02-09 11:32:18,negative,0.9995237588882446,negative,0.9995237588882446
2021-02-09 11:34:57,neutral,0.9999016523361206,neutral,0.9999016523361206
2021-02-09 11:33:33,neutral,0.9999105930328369,neutral,0.9999105930328369
2021-02-09 11:31:36,negative,0.9993045330047607,negative,0.9993045330047607
2021-02-09 11:26:02,neutral,0.9999116659164429,neutral,0.9999116659164429
2021-02-09 11:23:31,negative,0.5184447169303894,negative,0.5184447169303894
2021-02-09 11:06:11,neutral,0.9996317625045776,neutral,0.9996317625045776
2021-02-09 11:03:56,neutral,0.999907374382019,neutral,0.999907374382019
2021-02-09 11:02:39,negative,0.9858545660972595,negative,0.9858545660972595
2021-02-09 10:39:44,neutral,0.9999064207077026,neutral,0.9999064207077026
2021-02-09 10:07:23,neutral,0.9998834133148193,negative,0.9994126558303833
2021-02-09 09:57:41,neutral,0.9999071359634399,neutral,0.9999071359634399
2021-02-08 16:22:07,neutral,0.9999042749404907,neutral,0.9999042749404907
2021-02-09 09:53:25,neutral,0.9999057054519653,neutral,0.9999057054519653
2021-02-08 20:51:58,neutral,0.9997275471687317,neutral,0.9997275471687317
2021-02-07 15:38:27,negative,0.9995429515838623,neutral,0.998127281665802
2021-02-09 09:39:41,neutral,0.9997193217277527,neutral,0.9997193217277527
2021-02-08 20:51:02,neutral,0.9999139308929443,neutral,0.9999139308929443
2021-02-08 20:47:38,neutral,0.999903678894043,neutral,0.999903678894043
2021-02-08 10:40:17,neutral,0.9998471736907959,neutral,0.9998471736907959
2021-02-08 13:40:25,positive,0.9997015595436096,positive,0.9997015595436096
2021-02-08 13:37:28,neutral,0.9994572997093201,neutral,0.9994572997093201
2021-02-08 22:26:27,negative,0.999249279499054,negative,0.9995390176773071
2021-01-11 14:37:01,neutral,0.9996820688247681,neutral,0.9995778203010559
2021-02-08 21:23:06,neutral,0.9999123811721802,neutral,0.9999123811721802
2021-02-08 21:10:32,neutral,0.999903678894043,neutral,0.999903678894043
2021-02-08 19:31:07,negative,0.9996055960655212,negative,0.9996055960655212
2021-02-08 18:32:04,neutral,0.9083632826805115,neutral,0.9083632826805115
2021-02-08 17:51:38,neutral,0.9969220757484436,neutral,0.9969220757484436
2021-02-08 15:56:24,neutral,0.5000079870223999,neutral,0.998127281665802
2021-02-08 15:53:20,neutral,0.9999104738235474,neutral,0.998127281665802
2021-02-08 15:54:30,neutral,0.9998488426208496,neutral,0.998127281665802
2021-02-08 15:52:20,neutral,0.9999128580093384,neutral,0.9999011754989624
2021-02-08 15:51:11,neutral,0.9994385838508606,neutral,0.998127281665802
2021-02-08 15:49:43,negative,0.9984273910522461,neutral,0.998127281665802
2021-02-08 15:48:25,neutral,0.995032548904419,neutral,0.998127281665802
2021-02-08 15:47:29,neutral,0.9998835325241089,neutral,0.998127281665802
2021-02-08 15:36:41,negative,0.9994670748710632,neutral,0.998127281665802
2021-02-08 15:31:18,neutral,0.9999030828475952,neutral,0.998127281665802
2021-02-08 11:20:28,neutral,0.9998855590820312,neutral,0.9998855590820312
2021-02-08 15:23:31,negative,0.9981468915939331,negative,0.9981468915939331
2021-02-08 15:22:35,negative,0.9178423285484314,neutral,0.998127281665802
2021-02-08 15:18:59,negative,0.9924890995025635,neutral,0.9999085664749146
2021-02-08 15:11:57,neutral,0.999900221824646,negative,0.8444311618804932
2021-02-08 14:23:11,neutral,0.9999141693115234,negative,0.9996045231819153
2021-02-08 13:44:55,neutral,0.9925559163093567,neutral,0.998127281665802
2021-02-08 14:13:37,neutral,0.9998881816864014,neutral,0.9999021291732788
2021-02-08 13:27:19,neutral,0.9997840523719788,neutral,0.9997840523719788
2021-02-08 13:41:05,neutral,0.9998959302902222,neutral,0.9998959302902222
2021-02-08 13:39:20,neutral,0.9998825788497925,neutral,0.9998825788497925
2021-02-08 13:35:37,positive,0.999695897102356,positive,0.999695897102356
2021-02-08 13:33:46,neutral,0.9999021291732788,neutral,0.9999021291732788
2021-02-08 13:34:38,neutral,0.9999096393585205,neutral,0.9999096393585205
2021-02-08 13:33:48,negative,0.7625739574432373,negative,0.7625739574432373
2021-02-08 13:26:47,negative,0.997956395149231,negative,0.997956395149231
2021-02-08 13:25:20,neutral,0.9998369216918945,neutral,0.9998369216918945
