标题,链接,发布时间,内容
抢筹期，震荡期，疯狂期，衰退期。才刚开始，有筹码拿着就行了。,"https://guba.eastmoney.com/news,000980,1243359825.html",2022-11-05 20:14:21,抢筹期，震荡期，疯狂期，衰退期。才刚开始，有筹码拿着就行了。
能不能别闹了，只是一个资讯，又不是公告。资讯怎么写都可以，众泰这一路走来，你们上,"https://guba.eastmoney.com/news,000980,1242790204.html",2022-11-03 23:47:10,"$众泰汽车(SZ000980)$  能不能别闹了，只是一个资讯，又不是公告。资讯怎么写都可以，众泰这一路走来，你们上资讯的当上的还不够吗？还要到人家宁德吧里去闹。当初是怎么跌下来的都忘了吗？你们不觉得这样的资讯是在带节奏吗？为什么大利好会无缘无故的打开让你们进来？才涨了一个板都个个打了鸡血一样。我没有卖，我也没有T，但我作为一个老泰，只看公告，不看资讯。
2022-11-04 00:08:53作者更新以下内容
这份资讯疑点重重，仅仅是以投资神者的身份致电证券部，就能得到这么多信息？众泰一路走来，多少老泰作为投资者致电证券部，连个P都问不出来。怎么到今天一个小小投资者，人家就把所有的信息告诉你了？资讯可以当黑莓，也可以当红莓，还可以带节奏。为什么摘帽前一天会有折价大宗交易？在大利好的情况下，为什么还会开板让你们进来？如果说众泰有高能电池的计划，这也不是今天才变出来，为什么偏偏这个时候由资讯发出来？
作为一个老泰，我只信公告，不信咨讯"
证券会配合做庄,"https://guba.eastmoney.com/news,000980,1243361736.html",2022-11-05 20:34:02,$众泰汽车(SZ000980)$  证券会配合做庄
中国智能驾驶计算方案提供商地平线就与大众汽车集团旗下软件公司CARIAD成立合资,"https://guba.eastmoney.com/news,000980,1243361686.html",2022-11-05 20:33:32,中国智能驾驶计算方案提供商地平线就与大众汽车集团旗下软件公司CARIAD成立合资公司的事宜对《环球时报》记者做出了回应。地平线认为，中国是全球智能汽车的核心市场，德国是全球领先的汽车工业强国，双方成立合资公司，既可助力大众在华加速推出自动驾驶本土化解决方案，助力转型，又可以使地平线的业务迈上新台阶，获得国际头部车企认可，加速推进智能汽车的普及应用。此前，大众发布消息称，将为本次合作投资24亿欧元。这次在德方经济代表团中，大众汽车集团CEO奥博穆位列其中
不管了，5.21买了20万，晚上喝瓶茅子那里有查车去那里，三月后再见了兄弟萌,"https://guba.eastmoney.com/news,000980,1243358498.html",2022-11-05 19:55:59,不管了，5.21买了20万，晚上喝瓶茅子那里有查车去那里，三月后再见了兄弟萌
股吧这么疯狂[捂脸]有点慌,"https://guba.eastmoney.com/news,000980,1242818304.html",2022-11-04 07:55:42,股吧这么疯狂有点慌
分享一下选股技巧与操作大致为三点！一、选股标准:a.先确定要在热点板块里面选股;,"https://guba.eastmoney.com/news,000980,1242807696.html",2022-11-04 06:14:06,"$天鹅股份(SH603029)$  
分享一下选股技巧与操作大致为三点！


一、选股标准:


a.先确定要在热点板块里面选股;


b.近期有一段下跌，之后出现一个换手涨停板，形成明显的底部启动;


c.以一个换手充分的涨停板突破前高点位置，形成加速;


d中小流通盘较好，不能太大;






二、该方法的优势:


a.只做底部或是刚加速的最强势股;


b.有涨停板说明这股主力介入，这样的股-日爆发会很强:


c.这种K线形态非常简单，识别度很高，可以快速选股;


d.每天只在强势股里操作，更有利于账户的快速增长。






三、具体操作:


a.每天收盘后，选定操作的几个目标股，第二天早盘集合竞价再筛选一遍，最终选定2只形态最好，往上有较大空间的股票;


b.当天感觉大盘没风险，直接挂涨停价买入，如果大盘不太好，开盘15分钟内根据分时图找低点杀入;


c如果买入后快速封板，第二天只要不破昨天的涨停价，就持有，当天不涨停尾盘出，如果再次封住板就持有;


d.如果买入后没封住板只有小赚。第二天也在10点前择机出来，不管赚还是亏;


e.如果出现被套的情况，不管套多少个点，第二天早盘集合竞价直接挂跌停抛掉，再迅速切入新的目标。当天买入被套也会出现，但只要不是市场风格发生强烈切换，基本上套得很少。如果市场风格发生强烈切换，第二天止损后空仓，认真观察、感受市场新的风格，直到找到感觉。


其实，大家都知道，每一个战法都会有一段时间特别适合市场，基本是买什么就涨什么，这是你吃肉的最好的时机。一个好的战法能帮你在这个市场长期稳定盈利，我们只有多学，多练，掌握每一个战法的形和神，才能真正地使用它并立足于这个市场！






遇到皆为缘分！希望能帮助到大家，一起进步一起吃肉！加油！


$竞业达(SZ003005)$  $众泰汽车(SZ000980)$  #A股半导体公司前三季营收超3000亿元# $半导体(BK1036)$  #加拿大要求中资企业从其指定公司撤资# $中矿资源(SZ002738)$ #“妖股”竞业达复牌后再度涨停# $信创(BK1104)$   
展开阅读全文"
小长线拿稳！不要因为所谓的问询涵就急着交出筹码，现在大资金就是等着筹码了！慌什么,"https://guba.eastmoney.com/news,000980,1243358522.html",2022-11-05 19:56:18,"小长线拿稳！
   不要因为所谓的问询涵就急着交出筹码，现在大资金就是等着筹码了！慌什么，自己吓自己！就是要调整也是要到一定位置再调整的，那时可以做点小T.
   但是尽量不要乱动，明年再来看这票，一定会有所收获！"
选股技巧与操作大致分为三点！一、选股标准:a.先确定要在热点板块里面选股;b.近,"https://guba.eastmoney.com/news,000980,1242948528.html",2022-11-04 10:37:09,"$天鹅股份(SH603029)$  
选股技巧与操作大致分为三点！


一、选股标准:


a.先确定要在热点板块里面选股;


b.近期有一段下跌，之后出现一个换手涨停板，形成明显的底部启动;


c.以一个换手充分的涨停板突破前高点位置，形成加速;


d中小流通盘较好，不能太大;






二、该方法的优势:


a.只做底部或是刚加速的最强势股;


b.有涨停板说明这股主力介入，这样的股-日爆发会很强:


c.这种K线形态非常简单，识别度很高，可以快速选股;


d.每天只在强势股里操作，更有利于账户的快速增长。






三、具体操作:


a.每天收盘后，选定操作的几个目标股，第二天早盘集合竞价再筛选一遍，最终选定2只形态最好，往上有较大空间的股票;


b.当天感觉大盘没风险，直接挂涨停价买入，如果大盘不太好，开盘15分钟内根据分时图找低点杀入;


c如果买入后快速封板，第二天只要不破昨天的涨停价，就持有，当天不涨停尾盘出，如果再次封住板就持有;


d.如果买入后没封住板只有小赚。第二天也在10点前择机出来，不管赚还是亏;


e.如果出现被套的情况，不管套多少个点，第二天早盘集合竞价直接挂跌停抛掉，再迅速切入新的目标。当天买入被套也会出现，但只要不是市场风格发生强烈切换，基本上套得很少。如果市场风格发生强烈切换，第二天止损后空仓，认真观察、感受市场新的风格，直到找到感觉。


其实，大家都知道，每一个战法都会有一段时间特别适合市场，基本是买什么就涨什么，这是你吃肉的最好的时机。一个好的战法能帮你在这个市场长期稳定盈利，我们只有多学，多练，掌握每一个战法的形和神，才能真正地使用它并立足于这个市场！


$竞业达(SZ003005)$  $众泰汽车(SZ000980)$  #A股半导体公司前三季营收超3000亿元# $半导体(BK1036)$  #加拿大要求中资企业从其指定公司撤资# $中矿资源(SZ002738)$ #“妖股”竞业达复牌后再度涨停# $信创(BK1104)$   
展开阅读全文"
为什么散户总是亏损?1、过度交易，几乎有80%的散户每天都必须交易，一个月22个,"https://guba.eastmoney.com/news,000980,1243347830.html",2022-11-05 16:24:00,"$众泰汽车(SZ000980)$  
为什么散户总是亏损?
1、过度交易，几乎有80%的散户每天都必须交易，一个月22个交易日每个人每天都在买卖，试问常常买卖你总会失手的，失手之后你的心态就又会变坏，这样就会一步错步步错。
2、喜欢抄底，尤其是处于历史低位的股票。
看到自己的成本比别人都低，心里简直是乐开了花。却没有想到，一个股票既然已创出了历史新低，那么很可能还会有很多新低出现，甚至用不了几个月你的股票就被腰斩了。抄底抄底，最后抄死自己。
3、长期满仓操作
无论炒股资金是多少，每次操作必全仓买入，股市下跌，只能干看这自己的账户亏损越来越大，割肉吧，不忍心，不割肉，继续亏损，等反弹时也无资金做T，还没等到自己成本价，又一轮杀跌开始，最终散户基本都会滴血割肉!认赔出局!
4、不会止盈、不会止损
很多人亏损不是源于不会买而是不会卖，常言道：会买的是徒弟，会卖的才是师傅.什么时间买进并不重要，在该卖的时候不果断卖出那才是最悲哀的事，本来是赚的因为该卖而没有卖出，结果做了趟过山车，原地出发原地打回，弄不好还深套一程，止损止盈太过于敏感，赚了点就跑，亏了就死扛，散户有个心理就是不止损，侥幸心理过大，明显破位还不卖，等到底部又控制不住卖出，真是人性的天敌!
5、盲目操作、没有纪律
股票再好，形态坏了也下跌;股票再不好，形态好了也能上涨。往往这种情况让很多投资者郁闷，经常碰到这样的问题:我在选股时，都是挑选基本面好的股票，为什么依旧还是跌那么惨呢?基本面好也要配合大盘和该股的形态等综合分析，不是说基本面好，买进去就会涨，形态好坏也至关重要"
众泰王者归来！！！,"https://guba.eastmoney.com/news,000980,1242818909.html",2022-11-04 07:59:21,$众泰汽车(SZ000980)$  众泰王者归来！！！
周四5.21元抢入了20000股，下周一挂涨停清仓算了。,"https://guba.eastmoney.com/news,000980,1243352197.html",2022-11-05 18:02:52,，，，
面对各种潮讽的质疑，众泰汽车能否霸气回应，值得期待,"https://guba.eastmoney.com/news,000980,1243353958.html",2022-11-05 18:47:26,$众泰汽车(SZ000980)$  面对各种潮讽的质疑，众泰汽车能否霸气回应，值得期待
宁德吧这个人的贴把我睡意都笑没了，哈哈哈哈哈哈哈哈,"https://guba.eastmoney.com/news,000980,1242794722.html",2022-11-04 00:31:25,"宁德吧这个人的贴把我睡意都笑没了，哈哈哈哈哈哈哈哈
安徽收尸队
我是进错股吧了嘛？我有点懵逼了。
我是进错股吧了嘛？我有点懵逼了。
2022-11-03 23:41:23宁德时代吧"
置死地而后生的股一般都是大牛股！所以大家拿好筹码赚自己认知的钱！让时间来证明！,"https://guba.eastmoney.com/news,000980,1243357998.html",2022-11-05 19:48:10,$众泰汽车(SZ000980)$  置死地而后生的股一般都是大牛股！所以大家拿好筹码赚自己认知的钱！让时间来证明！
这个庄家1元多，拉升到现在5.73元，赚了多少钱？[主力][主力][韭菜][韭菜,"https://guba.eastmoney.com/news,000980,1243354271.html",2022-11-05 18:53:37,这个庄家1元多，拉升到现在5.73元，赚了多少钱？
兄弟们，昨天晚上一夜没睡着，为什么呢，前天开板卖了一半，所以寄希望众泰跌停，兄弟,"https://guba.eastmoney.com/news,000980,1242332182.html",2022-11-03 08:42:33,$众泰汽车(SZ000980)$  兄弟们，昨天晚上一夜没睡着，为什么呢，前天开板卖了一半，所以寄希望众泰跌停，兄弟们我没什么错啊！
竟敢扬言比宁跌四代还牛！那得跌到哪里去？！,"https://guba.eastmoney.com/news,000980,1243360293.html",2022-11-05 20:20:12,竟敢扬言比宁跌四代还牛！那得跌到哪里去？！
众泰现在啥价值，跑到宁德股吧，难怪别人看不起,"https://guba.eastmoney.com/news,000980,1243349842.html",2022-11-05 17:07:39,"$众泰汽车(SZ000980)$  
众泰现在啥价值，跑到宁德股吧，难怪别人看不起"
放心吧资本的力量是无穷的、不涨到10元不会罢休的,"https://guba.eastmoney.com/news,000980,1243353047.html",2022-11-05 18:25:31,放心吧资本的力量是无穷的、不涨到10元不会罢休的
市值好大啊都要三百亿了翻几倍难了,"https://guba.eastmoney.com/news,000980,1243351103.html",2022-11-05 17:36:36,$众泰汽车(SZ000980)$  市值好大啊都要三百亿了 翻几倍难了
车子要运输找中铁特货[呲牙][呲牙][呲牙],"https://guba.eastmoney.com/news,000980,1243350668.html",2022-11-05 17:26:20,$众泰汽车(SZ000980)$  车子要运输找中铁特货
现在深交所想起问是不是有误导性陈述了？之前董秘说重整重组并行的时候怎么不问问是不,"https://guba.eastmoney.com/news,000980,1243354625.html",2022-11-05 18:58:49,$众泰汽车(SZ000980)$  现在深交所想起问是不是有误导性陈述了？之前董秘说重整重组并行的时候怎么不问问是不是有误导性陈述？
9.9能不能回本,"https://guba.eastmoney.com/news,000980,1243355387.html",2022-11-05 19:07:47,9.9能不能回本
想问一下多少钱卖合适,"https://guba.eastmoney.com/news,000980,1243355434.html",2022-11-05 19:08:30,$众泰汽车(SZ000980)$  想问一下多少钱卖合适
周一会不会停牌了。,"https://guba.eastmoney.com/news,000980,1243358790.html",2022-11-05 19:59:58,$众泰汽车(SZ000980)$  周一会不会停牌了。
安泰科技，000969，中德签订大飞机订单概念股，空客大飞机供应商,"https://guba.eastmoney.com/news,000980,1243358660.html",2022-11-05 19:58:07,$众泰汽车(SZ000980)$  安泰科技，000969，中德签订大飞机订单概念股，空客大飞机供应商
空空现在是不是很紧张，坐立不安，生怕这次电池事件玩真的，那可怎么办，没上车，车走,"https://guba.eastmoney.com/news,000980,1243354931.html",2022-11-05 19:01:16,空空现在是不是很紧张，坐立不安，生怕这次电池事件玩真的，那可怎么办，没上车，车走了，哈哈哈
周四5.21元抢入了20000股，下周一挂涨停价清仓走人。,"https://guba.eastmoney.com/news,000980,1243352321.html",2022-11-05 18:06:35,。。。。
奥迪一汽比亚迪合资？？？,"https://guba.eastmoney.com/news,000980,1243358269.html",2022-11-05 19:52:33,奥迪一汽比亚迪合资？？？
老乡别跑，保底千倍牛股[呲牙],"https://guba.eastmoney.com/news,000980,1243352772.html",2022-11-05 18:18:22,$众泰汽车(SZ000980)$  老乡别跑，保底千倍牛股
太多唱多了，深交所看不过去了[大笑],"https://guba.eastmoney.com/news,000980,1243357612.html",2022-11-05 19:41:50,$众泰汽车(SZ000980)$  太多唱多了，深交所看不过去了
一辆车都没造得出来，就已经开始在爆炒新能源了，真的是笑死了[笑哭],"https://guba.eastmoney.com/news,000980,1242818646.html",2022-11-04 07:57:22,$众泰汽车(SZ000980)$  一辆车都没造得出来，就已经开始在爆炒新能源了，真的是笑死了
故事讲起走，韭菜们敢不敢进来[得意][得意],"https://guba.eastmoney.com/news,000980,1243355831.html",2022-11-05 19:13:54,故事讲起走，韭菜们敢不敢进来
接下来走着，意一下。哈哈哈,"https://guba.eastmoney.com/news,000980,1243349900.html",2022-11-05 17:09:20,$众泰汽车(SZ000980)$  接下来走着， 意一下。哈哈哈
兄弟们把这个图顶上热门！！！,"https://guba.eastmoney.com/news,000980,1243353524.html",2022-11-05 18:37:35,$众泰汽车(SZ000980)$  $宁德时代(SZ300750)$  $比亚迪(SZ002594)$  兄弟们把这个图顶上热门！！！
周五计划：接力：一进二：合众思壮西安饮食普路通二进三：众泰汽车天地在线罗曼股份三,"https://guba.eastmoney.com/news,000980,1242785930.html",2022-11-03 23:13:51,"$合众思壮(SZ002383)$  $理工能科(SZ002322)$  $众合科技(SZ000925)$  
周五计划：


接力：


一进二：合众思壮西安饮食普路通


二进三：众泰汽车天地在线罗曼股份


三进四：理工能科


竞业达复牌走势不及预期，带崩短线情绪面，日内大风车轮动，信创中军逼近跌停，医药整体冲高回落，中通也在尾盘送出大面一碗，盘后发布新冠药利好，若医药板块明日能借此重新反包带动指数，那仍可参与博弈，反之建议空仓休息；访问在即，盘后发布多项工业利好，建议围绕华东数控和海天精工低吸参与；半导体板块上蹿下跳，受消息面影响过大，围绕趋势线做t即可。


低吸：众合科技 翔港转债


展开阅读全文"
这糟心的周末！Whataweekend!,"https://guba.eastmoney.com/news,000980,1243357049.html",2022-11-05 19:32:15,"这糟心的周末！
What a weekend!"
十万阅读的资讯不见了？打压人气不给第一。。。让两个大屁股第一二[怒],"https://guba.eastmoney.com/news,000980,1243356801.html",2022-11-05 19:28:26,$众泰汽车(SZ000980)$  十万阅读的资讯不见了？打压人气不给第一。。。让两个大屁股第一二
炒股嘛！就要狠狠地炒，火开到最大炒糊它！不要自卑要自信，去宁德砸场子怎么了？去比,"https://guba.eastmoney.com/news,000980,1243356701.html",2022-11-05 19:26:43,炒股嘛！就要狠狠地炒，火开到最大炒糊它！不要自卑要自信，去宁德砸场子怎么了？去比亚迪踢馆又如何？去茅台摔瓶子不可以吗？有电池会涨停？没电池照样牛A
周一5%概率，高开涨停。10％概率T字板，85%概率一字板。,"https://guba.eastmoney.com/news,000980,1243348932.html",2022-11-05 16:48:10,周一5%概率，高开涨停。10％概率T字板，85%概率一字板。
众泰电池名称：“比宁德时代更先进电池”，远超宁德时代的“麒麟电池”，比亚迪的“刀,"https://guba.eastmoney.com/news,000980,1243347776.html",2022-11-05 16:22:48,众泰电池名称：“比宁德时代更先进电池”，远超宁德时代的“麒麟电池 ”，比亚迪的“刀片电池”
以后就是国际众泰了,"https://guba.eastmoney.com/news,000980,1243356074.html",2022-11-05 19:17:21,以后就是国际众泰了
周四5.21元抢如了20000股，下周一挂涨停清仓算了。,"https://guba.eastmoney.com/news,000980,1243352170.html",2022-11-05 18:02:07,、。，，。、
谁能算下，真正交易的有多少股？冻结这么多毕竟，那一个点的还手相当于多少了？算上庄,"https://guba.eastmoney.com/news,000980,1243352200.html",2022-11-05 18:02:58,$众泰汽车(SZ000980)$  谁能算下，真正交易的有多少股？冻结这么多毕竟，那一个点的还手相当于多少了？算上庄的，总流通好像20Y股吧。
[强壮][强壮][强壮][强壮][强壮][强壮],"https://guba.eastmoney.com/news,000980,1243352188.html",2022-11-05 18:02:38,$众泰汽车(SZ000980)$
感觉很有道理，若是这样今年跨年妖股非众泰莫属了！！！,"https://guba.eastmoney.com/news,000980,1243342693.html",2022-11-05 14:57:26,"$众泰汽车(SZ000980)$  
为什么说发关注函就是发“妖股证“，很有意思的一个帖吧转发此文给大家讨论。。。。
目前，沪深两市个股已经高达近4000只，两市开户投资者过亿人，绝大多数投资者不可能对每只股票都了如指掌，而由于规则所限，站在风口的上市公司又不可能主动推介自己。向媒体吹风？涉嫌息泄漏违反公平披露则。做公司形象广告？涉嫌主动迎合市场热炒作概念的嫌疑。
而关注函是给了公司一个合法的向市场全面展示自己的机会。公司实力、行业地位、未来潜力、人才储备，都能得到充分披露。这是一只领涨股必须受到的考问，也是让上市公司闪亮的舞台。
在4000多只股中被拎出来，就好比赌石摆在桌面。是和氏璧则流芳百世，众望所归。是石头渣，则烟消云散。
当然，由于回答的人是公司自己。免不了包装化妆，避重就轻。所以回答大多是正面的。
但不管怎么说，由于关注函让一个不为大多数人关注的股票，成了一个被大多数人关注被机构游资大户关注的股票。只要公告有一丝亮，就相当于给火箭了火。而聪明的投资者大多会打提前量，所以一般而言，发了关注函就是发了一张妖股证。"
盲猜特斯拉德国铝电池,"https://guba.eastmoney.com/news,000980,1243352548.html",2022-11-05 18:12:16,"$众泰汽车(SZ000980)$  
盲猜 特斯拉 德国 铝电池"
现在别的都是虚的，最重要的是业绩，什么时候众泰公布百亿订单就是飞龙在天一发不可收,"https://guba.eastmoney.com/news,000980,1243355447.html",2022-11-05 19:08:42,$众泰汽车(SZ000980)$  现在别的都是虚的，最重要的是业绩，什么时候众泰公布百亿订单就是飞龙在天一发不可收拾
这个周末有点长,"https://guba.eastmoney.com/news,000980,1243355172.html",2022-11-05 19:04:44,$众泰汽车(SZ000980)$  这个周末有点长
阿泰别吹牛b哈。行就上不行咱们低调点。不然很丢人,"https://guba.eastmoney.com/news,000980,1243354160.html",2022-11-05 18:51:29,$众泰汽车(SZ000980)$  阿泰别吹牛b哈。行就上不行咱们低调点。不然很丢人
