标题,链接,发布时间,内容
寻找接盘侠吗？,"https://guba.eastmoney.com/news,600418,1063937031.html",2021-07-28 10:40:19,。
现在只适合空仓观望等待机会,"https://guba.eastmoney.com/news,600418,1063883526.html",2021-07-28 10:04:22,现在只适合空仓观望等待机会
卖了就涨,"https://guba.eastmoney.com/news,600418,1063955027.html",2021-07-28 10:54:50,卖了就涨
被主力他玩死割肉走人就暴力拉升,"https://guba.eastmoney.com/news,600418,1063937543.html",2021-07-28 10:40:44,被主力他玩死割肉走人就暴力拉升
小米汽车不如华为？复制北汽蓝谷和小康股份走势！,"https://guba.eastmoney.com/news,600418,1063933387.html",2021-07-28 10:37:26,~~~
个人感觉反弹有点为时过早，不成功可能性大，下午跌回。,"https://guba.eastmoney.com/news,600418,1063934311.html",2021-07-28 10:38:10,个人感觉反弹有点为时过早，不成功可能性大，下午跌回。
（1）证券时报今天原文：近日的市场下跌一定程度上反映了部分资金对政策的误读及情绪,"https://guba.eastmoney.com/news,600418,1063925838.html",2021-07-28 10:31:59,（1）证券时报今天原文：近日的市场下跌一定程度上反映了部分资金对政策的误读及情绪的宣泄，经济基本面没有发生变化，市场随时会企稳。（2）打造600093地天板，则大盘活了，理解了吗？总有人理解，XUXIANG，时刻：上午临近收盘。证券时报，中信证券唱多，*****希望今天股市上涨。（3）中信证券今天原文：A股将迎来下半年最佳买点。（4）英雄归来，功臣！
一个字惨,"https://guba.eastmoney.com/news,600418,1063851430.html",2021-07-28 09:47:35,。
抄底的发财了。,"https://guba.eastmoney.com/news,600418,1063886903.html",2021-07-28 10:06:17,抄底的发财了。
小米:矮油OK，不要怕，我来了,"https://guba.eastmoney.com/news,600418,1063927216.html",2021-07-28 10:32:55,小米:矮油OK，不要怕，我来了
犹豫了很久没买华阳股份，买了江淮汽车，希望不要让我失望。,"https://guba.eastmoney.com/news,600418,1063924219.html",2021-07-28 10:30:53,犹豫了很久没买华阳股份，买了江淮汽车，希望不要让我失望。
今天能有勇气追回的，绝对是有清晰的思路。,"https://guba.eastmoney.com/news,600418,1063923152.html",2021-07-28 10:30:02,今天能有勇气追回的，绝对是有清晰的思路。
今天会不会上上地天板，这架势吓人！,"https://guba.eastmoney.com/news,600418,1063916334.html",2021-07-28 10:25:08,今天会不会上上地天板，这架势吓人！
啊，一卖就涨,"https://guba.eastmoney.com/news,600418,1063919690.html",2021-07-28 10:27:29,啊，一卖就涨
反包,"https://guba.eastmoney.com/news,600418,1063919514.html",2021-07-28 10:27:22,反包
反包反包,"https://guba.eastmoney.com/news,600418,1063915032.html",2021-07-28 10:24:18,反包反包
大盘会红,"https://guba.eastmoney.com/news,600418,1063911944.html",2021-07-28 10:22:10,感觉今天大盘会红，江淮也会红盘收。如果涨停那就是第二个小康
地天板！！！！！,"https://guba.eastmoney.com/news,600418,1063938112.html",2021-07-28 10:41:13,
大跌借利好翻红的票，下午自然会回去！！抄底者管住手！,"https://guba.eastmoney.com/news,600418,1063879779.html",2021-07-28 10:02:16,大跌借利好翻红的票，下午自然会回去！！抄底者管住手！
又是昨天的套路，尾盘又是一个跌停,"https://guba.eastmoney.com/news,600418,1063909601.html",2021-07-28 10:20:23,又是昨天的套路，尾盘又是一个跌停
还在流出感觉没戏啊,"https://guba.eastmoney.com/news,600418,1063906192.html",2021-07-28 10:18:08,。
什么都不说了！！,"https://guba.eastmoney.com/news,600418,1063909463.html",2021-07-28 10:20:17,什么都不说了！！
被主力他玩死割肉走人就暴力拉升,"https://guba.eastmoney.com/news,600418,1063868676.html",2021-07-28 09:55:54,被主力他玩死割肉走人就暴力拉升
今天大盘应该会红‘个股怎么走,"https://guba.eastmoney.com/news,600418,1063904275.html",2021-07-28 10:16:51,。
别人恐惧时，你干嘛不敢贪婪点？这么好的行业？这么低的估值？不融资，干一下,"https://guba.eastmoney.com/news,600418,1063900484.html",2021-07-28 10:14:29,别人恐惧时，你干嘛不敢贪婪点？这么好的行业？这么低的估值？不融资，干一下
