标题,链接,发布时间,内容
散户卖出，马上要跌停,"https://guba.eastmoney.com/news,002331,1031027355.html",2021-05-06 09:40:53,散户卖出，马上要跌停
这样搞下去公司都要完了,"https://guba.eastmoney.com/news,002331,1030932686.html",2021-05-05 23:46:27,这样搞下去公司都要完了
医美明天估计全部高开了吧,"https://guba.eastmoney.com/news,002331,1030928450.html",2021-05-05 22:57:06,"医美明天估计全部高开了吧
happyabia
五一小长假结束！！明日景峰医药，黄河旋风，楚天龙能否符合超短线涨停买点？
医美一路穿越，但是一路分歧，这样的话，这个板块，依旧还是长命，继续看好。板块核心—$奥园美谷(SZ000615)$周四烂板分歧，周五，烂板之后高开一气呵成封板，分歧转一致，经典中的经典。资金刻意为之，势必要让医美板块继续续命，明日这票大概率会一字板。毕竟周末，医美板块继续发酵。五一节期间，有记者前往上海多家医美、整形医院发现，前和节中预约整形的人数较多，知名的医生的手术时间基本排满。龙头加速后，除...
2021-05-05 22:39:03财富号评论吧"
跌这多天了，来几个涨停板也是情理之中！不奇怪,"https://guba.eastmoney.com/news,002331,1030923440.html",2021-05-05 22:07:20,
有谁知道为什么涨停？,"https://guba.eastmoney.com/news,002331,1030892542.html",2021-05-05 16:33:46,有谁知道为什么涨停？
周发展哪里来的底气？敢于在五月17号开股东会？少的可怜的那点筹码！难道是先试试水,"https://guba.eastmoney.com/news,002331,1029968048.html",2021-04-29 22:01:43,周发展哪里来的底气？敢于在五月17号开股东会？少的可怜的那点筹码！难道是先试试水，为25号的股东会投石问路？
和则共赢，争则同输！远离喧嚣浮躁的世界，避开危险地带！,"https://guba.eastmoney.com/news,002331,1030851383.html",2021-05-05 08:34:02,和则共赢，争则同输！远离喧嚣浮躁的世界，避开危险地带！
皇庭国际,"https://guba.eastmoney.com/news,002331,1030830297.html",2021-05-04 23:54:47,皇庭国际
中国船舶集团提前完成全年船海经营目标拿下超百亿元集装箱船巨单中国新闻网2021-,"https://guba.eastmoney.com/news,002331,1030790512.html",2021-05-04 14:41:38,"中国船舶集团提前完成全年船海经营目标 拿下超百亿元集装箱船巨单
中国新闻网
2021-05-01 09:32:53
年中还没到，年终目标就实现了　中国船舶集团供图
　　中新网上海5月1日电(记者 殷立勤)4月30日，中国造船业在上海接下一笔总金额超百亿元的集装箱船巨单。这是中国船舶集团有限公司史上最大单笔集装箱船订单，订单即时生效，也让中国船舶集团直接提前完成全年船海经营承接目标任务。
　　这笔3型22艘集装箱船订单由中国船舶集团旗下中国船舶工业贸易有限公司携手江南造船(集团)有限责任公司、沪东中华造船(集团)有限公司、青岛北海船舶重工有限责任公司联合承接。船东方是法国达飞海运集团。
　　据悉，此次批量订造的集装箱船均是最新一代绿色环保、高效节能型集装箱船。3型22艘船包括6艘双燃料动力1.5万标准箱(TEU)集装箱船，船总长366米、宽51米，由江南造船承建；6艘双燃料动力1.3万TEU集装箱船，船总长336米、宽51米，由沪东中华承建；10艘常规动力5500TEU集装箱船，船总长255米、宽40米，由青岛北海船舶重工承建。
　　3种船型分别由中国船舶集团旗下设计院所独立研究设计，采用自主品牌主机双燃料WinGD主机。
　　中国船舶集团船海部主任王永良介绍，受全球疫情影响以及全球贸易货物量需求剧增等方面因素影响，集装箱船市场出现快速回升回暖并持续成为船市热点。今年一季度以来，全球范围内先后又产生了多笔大额大型集装箱船订单。世界各大班轮公司在这一热点期集中将船队进行更新升级，选择最新一代的绿色节能环保型船型，批量订造新型船舶。中国船舶集团也抢抓船市机遇期，主动营销，连续成功承接多笔大额集装箱订单，牢牢掌握市场的主导权，不断扩大市场占有率和品牌影响力。"
短期内风险已经很大，非标可能st！,"https://guba.eastmoney.com/news,002331,1030768088.html",2021-05-04 09:23:32,短期内风险已经很大，非标可能st！
神仙？妖怪？,"https://guba.eastmoney.com/news,002331,1030744080.html",2021-05-03 23:20:22,"核心竞争力：产品与技术优势


公司作为国内最早进入智能交通领域的企业,长期在交通信息化领域精耕细作,秉承专业、专注的技术研发传统,致力于为行业提供优质、可靠、成熟的应用软件产品和系统集成方案,在交通信息技术相关领域拥有高度的话语权和市场地位;公司建立并不断优化完善技术创新机制,从人才引进、培养、激励、技术和产品应用保障、知识产权保护、研发成果推广等方面入手,通过改进技术创新流程加快创新步骤,保障人才队伍稳定发展,激发企业创新活力。"
看盘口貌似多头强些，先买点试试水，管它天雷还是地雷，富贵险中求,"https://guba.eastmoney.com/news,002331,1029801151.html",2021-04-29 14:39:19,
股东大会该投谁？？,"https://guba.eastmoney.com/news,002331,1030695998.html",2021-05-03 11:32:19,"公司质地还是不错的，通过控制权之争，也基本把公司的财务水分挤干了，所以买了不少，现在想知道哪方对公司的发展更有利？？
下下周就要投票了，希望贡献点力量"
感谢皖通科技让我收获一个涨停板，此股最大的问题就是内斗，所以风险也很大，4.30,"https://guba.eastmoney.com/news,002331,1030692648.html",2021-05-03 10:49:19,感谢皖通科技让我收获一个涨停板，此股最大的问题就是内斗，所以风险也很大，4.30已清仓，逢低再买入！近期大家可关注生意宝！
