标题,链接,发布时间,内容
是个爷们！这才叫企业家,"https://guba.eastmoney.com/news,300104,880708928.html",2019-10-15 16:06:45,是个爷们！这才叫企业家
笑料播报：狼图腾z影响力注册时长4.2年10-1416:36东方财富Androi,"https://guba.eastmoney.com/news,300104,880743049.html",2019-10-15 21:04:37,"笑料播报：

狼图腾z
影响力注册时长4.2年
10-14 16:36 东方财富Android版
关注
贾先生回国，要不要欢迎队呢，我比较年轻，可以参加哈！！！"
有贾总股票的可以代替厕纸擦屁股，给你意外惊喜哦！,"https://guba.eastmoney.com/news,300104,873441390.html",2019-08-28 21:04:39,使用前请做软化处理！！！切记
收购乐视股票，非诚勿扰,"https://guba.eastmoney.com/news,300104,880741576.html",2019-10-15 20:49:36,收购乐视股票，非诚勿扰
还净欠着140亿！贾跃亭个人破产，真正意味着什么？好事坏事？,"https://guba.eastmoney.com/news,300104,880740134.html",2019-10-15 20:34:07,"10月10日《2019年胡润百富榜》，贾跃亭仍榜上有名，以45亿元人民币的身价，位列第912位。1日之后，媒体报道，贾跃亭在美国法庭主动申请个人破产重组，将把全部资产通过债权人信托的方式，转让给债权人。
1日之隔，45亿身家化为零，虽然这45亿仅是形式上的统计，虽然贾跃亭早已巨额债务缠身。
个人破产方案完成后，贾跃亭将不再持有任何法拉第未来（FF）控股母公司的股权。不过，遁走美国830天时间里，关于贾跃亭FF股权转让的消息，这不是第一次。
2017年12月29日，据美国科技新闻网站The Verge援引三位知情人士消息称，贾跃亭不再是FF的最大股东，在早些时候贾跃亭已经将所持有的一些股份转给了他的外甥王佳伟。这个王佳伟，是贾跃亭姐姐贾跃芳的儿子，深度参与FF融资之事。
值得注意的是，贾跃亭把FF股权转让给外甥的消息，并未得到贾跃亭、法拉第未来，以及更多第三方的证实。
这一次贾跃亭确确实实申请了个人破产，而这意味着什么？
FF新任CEO毕福说，“将彻底解决其在国内的债务问题，非但不会影响FF的正常运营，还将为公司的股权融资和未来IPO带来积极的促进。”
贾跃亭债务处理小组说，“该方案将彻底解决贾跃亭先生的直接、个人担保及间接债务问题。”“目前贾跃亭先生已替公司偿还债务超30亿美金，待偿还债务总额约为36亿美金，减去已冻结待处置国内资产以及可转股的担保债务，债务净额约为20亿美金。”
债权人说，“看到一点希望”。股民说，“重大利好乐视网”。吃瓜群众则猜测，“贾跃亭真要回国了”。
无论如何，贾跃亭此举多少也是挽回了点形象，没有对债务完全弃之不顾。但要多乐观看待这事，怕也是不能。
先拿被拖累惨的乐视网来说，股民预见的“重大利好”其实已经没有多少实际效用，如今的乐视网几乎是千疮百孔，回天乏力。
2019年前三季度业绩预告，乐视网亏损额为101.97亿元至102亿元，其中第三季度预计亏损15.06-15.56亿元。截止2019年6月，乐视网净资产为-130.89亿元。距离2019年结束仅剩不到3个月时间，乐视网能赚到或者拿到130亿？显然不太可能。28万户被套股东，危矣。
再从国内债权人的角度看，贾跃亭个人破产到底是好事是坏事，也还不好说。
有律师在接受《中新经纬》采访时表示，“贾跃亭在美国申请个人破产重组只能解决其在美国的债务问题，不能解决在中国的债务，国内的债权人仍可按照中国有关的法律主张自己的权利。”“如果贾跃亭在美国申请个人破产成功，势必会影响其偿债能力，国内债权人也难以再通过赴美起诉的方式实现国内债权。”
贾跃亭个人破产究竟意味着什么，是好事坏事，目前恐怕谁也难说清。但可以肯定的是，贾跃亭既已个人破产，要还剩下高达百亿的债务，只能靠着FF来实现。只有FF成功了，量产上市了，才真正有希望看到贾跃亭债务问题彻底解决的一天。
贾跃亭孤注一掷，就看FF的了。
（来源：牛熊交易室BTR的财富号 2019-10-15 20:34） [点击查看原文]"
诗一首,"https://guba.eastmoney.com/news,300104,880740356.html",2019-10-15 20:36:43,"布斯贾 ：轻轻的我走了，
　　正如我轻轻的来了，
　　不带走一片云彩，
　　只留下一屁股债。"
乐视必将凤凰涅槃，烈火中永生！,"https://guba.eastmoney.com/news,300104,880739709.html",2019-10-15 20:29:48,乐视必将凤凰涅槃，烈火中永生！
该背的背。猴子尽管计提她还有百分之8呢不能便宜猴子,"https://guba.eastmoney.com/news,300104,880739178.html",2019-10-15 20:23:57,
请乐视的管理层介绍一下，通过什么办法让公司亏这么多的?天才啊！,"https://guba.eastmoney.com/news,300104,880738057.html",2019-10-15 20:12:46,请乐视的管理层介绍一下，通过什么办法让公司亏这么多的?天才啊！
哈哈哈，被套的，看热闹的，别在互相伤害了。甲鱼已经彻底放弃，破罐破摔，申请破产。,"https://guba.eastmoney.com/news,300104,880737870.html",2019-10-15 20:11:00,哈哈哈，被套的，看热闹的，别在互相伤害了。甲鱼已经彻底放弃，破罐破摔，申请破产。爱咋地咋地吧，亿万富翁申请破产了。
逃不出恒大手掌心的!,"https://guba.eastmoney.com/news,300104,880737620.html",2019-10-15 20:07:38,逃不出恒大手掌心的!
贾跃亭破产被指假诚意 分析师称乐视追债更难了,"https://guba.eastmoney.com/news,300104,880707282.html",2019-10-15 15:55:00,一位资深投资者也向第一财经记者表示，贾跃亭在美宣布破产对乐视网投资者的影响就是——又多了个理由不还欠乐视网的钱了。他认为，贾跃亭所说的“破产”是通过减免债务（也就是俗称的“赖账”）解决个人债务问题的手段，但并不是“为了履行对于债权人尽责到底的承诺”。贾跃亭应该仍然是中国国籍，他选择在美国破产，法理上是可行的，因为美国有长臂管辖权，可以根据某些原因接受破产申请，但是美国法庭的判决是不会被中国承认的，只会平添麻烦，得利的只会是债务人。
斗地主，看不惯的不合路的地主随便找个理由，马云说过给民营企业家再厉害搞不过一张A,"https://guba.eastmoney.com/news,300104,880733216.html",2019-10-15 19:19:58,斗地主，看不惯的不合路的地主随便找个理由，马云说过给民营企业家再厉害搞不过一张A4纸，下面的人自然心领神会，银行忙得不亦乐乎，媒体帮忙添油加醋大肆宣传就这样，乐视完美的跳水
老贾破产，像我们这种小股民怎么办呢？请大家支个招吧,"https://guba.eastmoney.com/news,300104,880732643.html",2019-10-15 19:14:20,老贾破产，像我们这种小股民怎么办呢？请大家支个招吧
每天来吧里看乐傻拿着贾会计的画饼意淫，真是一件乐事[大笑][胜利],"https://guba.eastmoney.com/news,300104,880732008.html",2019-10-15 19:07:00,每天来吧里看乐傻拿着贾会计的画饼意淫，真是一件乐事
乐视网如果垮了，老贾也就垮了，没有中国市场的ff也基本上残废了，孙宏斌的3亿股也,"https://guba.eastmoney.com/news,300104,880730973.html",2019-10-15 18:55:27,乐视网如果垮了，老贾也就垮了，没有中国市场的ff也基本上残废了，孙宏斌的3亿股也打了水漂，英大，平安这些债主也别指望拿到足额的赔偿了，现在这群大佬都是一根绳上的蚂蚱，有这么多大佬比你还操心乐视的死活，你还操心啥？别吵吵，安静等结果
假用不了多久，应该会放话背这一百亿,"https://guba.eastmoney.com/news,300104,880729476.html",2019-10-15 18:38:38,假用不了多久，应该会放话背这一百亿
假用不了多久，应该会放话背这一百亿,"https://guba.eastmoney.com/news,300104,880729475.html",2019-10-15 18:38:42,假用不了多久，应该会放话背这一百亿
这个股吧的高人太多了。有钱任性的太多了。我等小散无法理解牛逼大神的思维。佩服佩服,"https://guba.eastmoney.com/news,300104,880714476.html",2019-10-15 16:37:38,这个股吧的高人太多了。有钱任性的太多了。我等小散无法理解牛逼大神的思维。佩服佩服。只能说他们这些人支撑着股市。没有他们，股市怎么赚钱呢
孙猴子很快就会有动作了！,"https://guba.eastmoney.com/news,300104,880726662.html",2019-10-15 18:09:05,孙猴子很快就会有动作了！
