标题,链接,发布时间,内容
300042创新高了  中科概念股,"https://guba.eastmoney.com/news,300169,230092509.html",2015-12-09 14:09:45,300042创新高了 中科概念股 300169停牌那天 300042当天也是跌停 价格不到18 今天47 期间并没有任何重组 唯一的概念就是中科举牌
应该是成功了，要是失败了早就放弃了，何必非得等到最后一刻再公布,"https://guba.eastmoney.com/news,300169,229975861.html",2015-12-09 10:30:29,应该是成功了，要是失败了早就放弃了，何必非得等到最后一刻再公布
到现在为止，连一个框架型的东西都没有，看来，实在是没什么东西可透露啊！,"https://guba.eastmoney.com/news,300169,229806674.html",2015-12-08 19:08:45,到现在为止，连一个框架型的东西都没有，看来，实在是没什么东西可透露啊！
命里有时终须有，，踏空嫉妒莫强求,"https://guba.eastmoney.com/news,300169,229517273.html",2015-12-08 07:01:15,命里有时终须有，，踏空嫉妒莫强求
天晟新材:重大资产重组进展公告,"https://guba.eastmoney.com/news,300169,229399806.html",2015-12-07 17:03:55,"公告日期：2015-12-07
证券代码：300169 证券简称：天晟新材 公告编号：2015-113

常州天晟新材料股份有限公司

重大资产重组进展公告

本公司董事会及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。

常州天晟新材料股份有限公司（以下简称“公司”）因筹划重大资产重组事项，于2015年8月12日发布了《关于重大资产重组停牌公告》，公司正在筹划重大资产重组事项，并于2015年10月12日发布了《重大资产重组进展暨延期复牌公告》。

截至本公告披露之日，公司以及有关各方正在积极推进本次重大资产重组的各项工作，公司董事会将在相关工作完成后召开会议，审议本次重大资产重组的相关议案。为避免公司股价异常波动，维护投资者利益，公司股票将继续停牌。

公司将每五个交易日发布一次重大资产重组事项进展情况公告。该事项仍存在不确定性，敬请广大投资者注意投资风险。

特此公告。

常州天晟新材料股份有限公司

董事会

二〇一五年十二月七日


[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。"
是非皆因多开口  烦恼全为强出头,"https://guba.eastmoney.com/news,300169,229637936.html",2015-12-08 12:04:29,与 hjm626君 自贡炒股养家君 共勉
万古不变者  惟人性耳,"https://guba.eastmoney.com/news,300169,229580753.html",2015-12-08 10:23:09,[不说了]
天晟新材:2015年第三次临时股东大会决议公告,"https://guba.eastmoney.com/news,300169,229399811.html",2015-12-07 17:03:56,"公告日期：2015-12-07
证券代码：300169 证券简称：天晟新材 公告编号：2015-114

常州天晟新材料股份有限公司

2015年第三次临时股东大会决议公告

本公司及其董事会全体人员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏。

特别提示：

1、本次股东大会无增加、变更、否决提案的情况；

2、本次股东大会以现场表决与网络投票相结合的方式召开。

一、会议召开和出席情况

1、会议召开方式：现场表决与网络投票相结合的方式

2、会议召开地点：常州市天宁经济开发区龙锦路508号常州天晟新材料股份有限公司会议室106

3、会议召开时间：

①现场会议时间：2015年12月7日（星期一）下午14:30

②网络投票时间：通过深圳证券交易所系统进行网络投票的时间为2015年

12月7日上午9:30-11:30、下午13:00-15:00；通过深圳证券交易所互联网投票系统投票的具体时间为2015年12月6日15:00至2015年12月7日15:00的任意时间。

4、召集人：常州天晟新材料股份有限公司董事会

5、主持人：董事长吴海宙先生

6、会议出席情况：出席现场会议和参加网络投票的股东及股东代表共59人，所持股份112,646,096股，占公司股份总数的34.5557%，其中：出席现场会议的股东及股东代表5人，所持股份110,322,988股，占公司股份总数的33.8430%；参加网络投票的股东54人，所持股份2,323,108股，占公司股份总数的0.7126％。单独或者合计持有本公司5%以下股份的股东所持股份2,346,308股，占公司股份总数的0.7198％。

本公司及其董事会全体人员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏。本次会议由公司董事会召集，由公司董事长吴海宙先生主持。公司董事、监事出席了本次会议、高级管理人员列席了本次会议，公司聘请的律师到会见证。

本次会议的召集和召开符合《公司法》、《上市公司股东大会规则》、《深圳证券交易所创业板股票上市规则》和《公司章程》等有关规定。

二、议案审议表决情况

本次股东大会当场公布了表决结果，通过了下列议案：

（一）审议通过《关于公司及全资子公司向银行申请综合授信的议案》；

现场表决结果：同意110,322,988股，反对0股，弃权0股。

网络表决结果：同意2,316,308股，反对6,800股，弃权0股。

表决结果：同意112,639,296股，占出席会议所有股东所持股份的99.9940％；反对6,800股，占出席会议所有股东所持股份的0.0060％；弃权0股（其中，因未投票默认弃权0股），占出席会议所有股东所持股份的0.0000％。

其中，单独或合计持有公司股份比率低于5%的股东投票表决结果：同意2,339,508股，占出席会议中小股东所持股份的99.7102％；反对6,800股，占出席会议中小股东所持股份的0.2898％；弃权0股（其中，因未投票默认弃权0股），占出席会议中小股东所持股份的0.0000％。

（二）审议通过《关于对公司及全资子公司提供担保额度的议案》；

现场表决结果：同意110,322,988股，反对0股，弃权0股。

网络表决结果：同意2,305,808股，反对6,800股，弃权10,500股。

表决结果：同意112,628,796股，占出席会议所有股东所持股份的99.9846％；反对6,800股，占出席会议所有股东所持股份的0.0060％；弃权10,500股（其中，因未投票默认弃权10,500股），占出席会议所有股东所持股份的0.0093％。

其中，单独或合计持有公司股份比率低于5%的股东投票表决结果：同意2,329,008股，占出席会议中小股东所持股份的99.2627％；反对6,800股，占出席会议中小股东所持股份的0.2898％；弃权10,500股（其中，因未投票默认弃权10,500股），占出席会议中小股东所持股份的0.4475％。

三、律师见证情况

本次股东大会经国浩律师（上海）事务所张隽律师、费夏琦律师现场见证并出具了《国浩律师（上海）事务所关于常州天晟新材料股份有限公司2015年第三次临时股东大会的法律意见书》，该法律意见书的结论意见如下：公司本次股东大会的召集和召开程序符合《证券法》、《公司……
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
天晟新材:2015年第三次临时股东大会的法律意见书,"https://guba.eastmoney.com/news,300169,229400098.html",2015-12-07 17:05:04,"公告日期：2015-12-07
天晟新材:2015年第三次临时股东大会的法律意见书
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。"
今天会出复牌公告吗？,"https://guba.eastmoney.com/news,300169,229174578.html",2015-12-07 09:02:36,今天会出复牌公告吗？
