标题,链接,发布时间,内容
金通灵:2018年2月3日投资者关系活动记录表,"https://guba.eastmoney.com/news,300091,745235970.html",2018-02-05 00:00:00,"证券代码： 300091 证券简称：金通灵

江苏金通灵流体机械科技股份有限公司
投资者关系活动记录表
编号：2018-002
投资者关系活动类别
特定对象调研 分析师会议
媒体采访 业绩说明会
新闻发布会 路演活动
现场参观
其他 _项目研讨暨经验交流会_
参与单位名称及人员姓名 国家能源局新能源司 李创军，国家发改委投资司 吕文斌，国家发改委基础司能源处 綦树利，国家发改委能源所 王仲颖、任东明、韩文科，中国可再生能源学会原理事长 石定寰，中国能源研究会 吴吟，中国电力企业联合会 王志轩，农业部农业生态与资源保护总站 李景明，国家开发银行 郭廉，国际清洁能源论坛 周杰，中国节能协会 宋忠奎，新能源商会 曾少军，中国林科院 储富祥，中国矿业大学（北京） 许德平，河南省科学院 雷廷宙，国务院发展研究中心 周宏春，民生证券 刘振宇，国元证券李茂娟，华商基金 孙常蕾，海通证券戴元灿，国泰君安李煜等
时间 2018年2月3日
地点金融街丽思卡尔顿酒店二层天坛厅
上市公司参与人员姓名 董事长、总经理季伟先生，副董事长季维东先生，林源科技总经理盛卫东先生，副总经理冯明飞先生，副总经理金振明先生，证券事务代表颜天宝先生
投资者关系活动主要内容介绍
国家可再生能源中心主办，江苏金通灵流体机械科技股份有限公司、高邮市林源科技开发有限公司、北京市计科能源新技术开发公司承办，农村生物质应用技术研讨会暨高效生物质气化发电技术经验交流会。会议由国家发改委能源所副所长、国家可再生能源中心主任王仲颖先生主持。

国家能源局新能源司李创军副司长介绍了新能源及生物质能源发展的现状，认为发展生物质能与乡村振兴战略、三农问题、生态文明、建设美丽中国等问题息息相关，国家能源局在制定生物质能发展十三五年规划、积极推进生物质能供热、启动生物天然气产业化发展、加快制定标准体系等工作的基础，下一步将做好生物质能十三五中期评估、扩大生物质能供热、加快生物天然气产业发展、完善标准体系建设、促进垃圾燃烧发电可持续健康发展等工作。
同时指出，在各类生物质能应用方式中，生物质气化能够满足发电、供热、供气等多种需求，并且符合我国生物质资源分散的国情，是十三五重点发展的技术之一。到2020年，生物天然气要初步形成一定规模的绿色、低碳、清洁产业，年产量和消费量达到80亿，建成160个生物天然气示范县和循环农业示范县。国家将加快生物天然气产品环保工程技术标准及规划研究，积极协调相关环保农业等相关主管部门，推动全国整县有机废物综合利用与生物天然气的建设工作，坚持整县推进、分散开发、循环利用等原则，依托全过程环保监管体系，采用源头控制，优先清洁生产，推进整县生物天然气合理开发与综合利用。

国家发改委能源所可再生能源中心主任、国家可再生能源中心副主任任东明先生以《生物质能开发利用与乡村振兴战略》为主题进行了演讲发言，其内容只要围绕“新时代、新战略；新形势、新方式；新能源、新发展；新政策、新方向”展开。其主要内容包括：
生物质能下一步怎么发展，还要转变思路，对于它的方向，必须做重大调整。这种方向我觉得还是经常说的要就近收集、就地进行加工、就地消费，而不是运到城里烧掉。另外是多元化利用，还要服务乡村，就是结合着乡村振兴战略来做文章，这是我讲的新时代、新战略。
推动能源革命要采取新的方式，新方式采取了几个特征，也是能源消费革命具有的特点，非常鲜明，就是低碳、清洁、高效和可再生。
生物质能的规划，十三五规划已经发布了，而且十三五规划是在一系列可再生能源中最先发布的，明确提出包括生物质发电、生物燃料和液体燃料一系列目标，要替代150万吨的可再生能源，这都是非常具体的目标。十三五规划的任务有四点变化，一个是在十三五规划中明确把生物天然气放在了首位，第二是发电更强大了热电联产，第三是提出成型燃料强调体系建设，第四是液体燃料强调应用。
农林剩余物的下一步方向调整，我觉得要主动适应乡村振兴战略的要求。方向上有三方面：要发展生物清洁供热和生物天然气开发利用的这个大方向；生物质热电联产；非粮生物液体燃料。社会主义新时代需要实施乡村振兴战略，能源革命新形势也决定了未来能源发展的方式，必然是以低碳、清洁、高效和可再生为主的特征的能源结构的转变。所以新时代和能源革命的形势，也为生物质的发展带来了新机遇，现在提出的乡村振兴战略为生物质的开发运用指明了方向。

高邮市林源科技开发有限公司总经理盛卫东先生就林源科技“10MW生物质气化热电多联供项目”作为国家863示范项目成果进行了介绍，项目规模适中，不但可以处置以玉米秆、稻草秆等常规生物质，而且能结合鸡粪、牛粪等畜禽粪等生物质，单独压块或混合压块，加工成固体成型颗粒，进入生物质气化炉，进行气化，经过水洗、电捕焦油等净化，进入锅炉燃烧发电，可以形成电、热、气、焦油、肥等多产品的联产联供。林源科技解决生物质气化应用的规模化以及气化过程中的飞灰去除、焦油净化等难题，针对生物质的收集、储运等难点问题给出了经过实践验证的商业模式，并提出了来料多元化，解决了与秸秆等来料混合压块、气化等问题。
高邮项目总规模10MW，成型原料消耗量64500t/a，年发电量75000MWh，度电成型料消耗量0.86kg，系统总效率26.2%。经济效益分析：项目总投资13500万元，发电及副产品销售总收入7800万元/年，利润总额每年2513万元。社会效益分析：年减排二氧化碳4.36万吨，二氧化硫420吨；增加农民收入1650万元，增加农民就地就业120人；为农田提供环保无公害残留优质有机肥料；有效利用畜禽粪便，帮助规模化畜禽养殖企业环保达标。

中国林科院副院长储富祥先生、中国矿业大学（北京）教授许德平先生、河南省科学院副院长雷廷宙教授、农业部农业生态与资源保护站首席专家李景明先生、中国能源研究会副理事长吴吟先生、中国可再生能源学会原理事长石定寰先生、中国电力企业联合会理事长王志轩先生、新能源商会副会长曾少军博士、国务院发展研究中心周宏春先生等领导进行了点评发言，对林源科技取得的成绩表示了肯定，从标准、政策、商业模式、发展方向等方面提出了意见与建议。

金通灵董事长季伟系统介绍了农业环保产业园项目，未来将围绕着农村秸秆、动物粪便等生物质提供综合处理方案，依托公司的研发、制造能力，公司可以实现供热、发电、制冷、高压空气等系统的能源管理。具体信息包括：
公司未来三至五年的规划，希望把高邮林源科技这一成熟模式规划好，通过推广和宣传，建立20-30个自营农业环保产业园。设立农村环保产业园示范点约100个，建设以5万吨为收集标准的收集和成型料工厂60-100个。然后进行全国性的推广，对设备进行维护、检修、运营环节等工作人员进行培训，保障设备正常运行，确保并网发电量。在设备技术方面，希望提高设备的竞争力，增加收益，金通灵目前正在研发高效燃气轮机，如果两年后设备成功，我们的综合发电效率会有现有的基础上提高10%。最后，我们已在高邮建立了500KW-2000KW小型内燃机的研发基地，希望我们的生物质发电在小型化的过程中，由内燃机来充当主要的设备。
另外，农业环保产业园在精准扶贫上也扮演这重要的角色，具体包括：一是我们的项目投资是6-8亿，可形成大量的政府财政税收，预计5000万以上。二是项目可以带动当地就业，我们可以提供300个人以上的农民工和农民工的子弟就业机会，并为其提供社会保障，农民人均年收入约5万元。三是秸秆的收集，林业废弃物、畜禽粪便等以60万吨来计算，则公司可贡献1.2亿元的经济效益，给农民的收入带来的增长。四是这个项目带动了当地农民的二次创业。如秸秆、畜禽粪污的收集、打包、运输等配套服务，可以为其创造约4000万的收入。五是根据国家制定的产业扶贫战略，我们这个项目也可以采用土地以村、乡为单位集体入股的形式，固定长期利益分红。土地一般占总投资比例不超过10%，按年可分配利润的10%计算，约有1200万元的收入，从而保障当地农民的长期固定效益。针对上述项目，最关键的是我的技术没问题，我们的投入决心是有的，甚至国家大型的基金也在积极和我们配套，包括我们银行也在组团，但是在这个项目当中，我们目前只要能保证合理价位的秸秆和废弃物的总量，我们这个项目就可以成功，收益也可以实现。

另外，会上金通灵与黑龙江省安达市人民政府就农业环保产业园签署了意向性合作协议，与黑龙江省密山市人民政府和黑龙江省大庆市大同区人民政府就农业环保产业园达成了初步意向。
附件清单（如有） 无
日期 2018年2月3日



[点击下载原文]
展开阅读全文"
金通灵：打造生物质气化发电综合运营新模式,"https://guba.eastmoney.com/news,300091,745200305.html",2018-02-05 16:01:49,"2018-02-04 18:31 证券时报

2月3日，由中国可再生能源中心主办的“2018农村生物质应用技术研讨会暨高效生物质气化发电技术经验交流会”上，金通灵（300091）董事长季伟表示，公司未来将不是单纯的做生物质气化，而是做农村生物质的应用及周边地区其他需求的综合处理方案。金通灵新模式的探索将会为我国农村及县域发展带来全新的解决方案，在农村生物质有效应用、绿色生态环保及精准扶贫等领域作出巨大贡献。

本次会议上，由金通灵控股的林源科技“10MW生物质气化热电多联供项目”作为近年来我国生物质应用的龙头项目进行了成果展示。该生物质秸秆气化发电项目为国家863计划项目，于2017 年9月5日在高邮并网发电成功。是以玉米秆、稻草秆、畜禽粪污等生物质为原料，加工成固体成型燃料，进入生物质气化炉，进行气化发电。同时经过一系列操作后可根据所在地周边需求，最终形成电、热、气、焦油、肥等产品的联产联供。河南省科学院副院长雷廷宙表示：”项目具有规模适中、原料前期成型从而解决了储运问题、采用了固定化水蒸气和空气联合气化的方式、形成工艺化装置等显著优势，在稳定运营的同时达到了效率最大化。”

据专家估算，项目的理论年利润可达2775 万元左右，而实际年利润为2975 万元。10MW 生物质发电厂投资需1.2 亿元，回收期在5-6 年（含一年建设期），相较于同类生物质发电项目微利或仅仅盈亏平衡的现状，项目在行业内具备颠覆性影响。

据介绍，我国农作物秸秆及农产品加工剩余物、林业剩余物等生物质资源丰富，每年可供能源化利用约4亿吨标煤，发展生物质能供热具有较好的资源条件。生物质能供热就地收集原料、就地加工转化、就近消费，布局灵活，适用范围广，适合城镇民用清洁供暖以及替代中小型工业燃煤燃油锅炉。

2017年底，国家能源局发布《关于促进生物质能供热发展的指导意见》提出，把扩大市场应用、加快形成产业作为发展生物质能供热的基本立足点，构建有利于生物质能供热应用的市场环境和政策环境，建立资源收集、热力生产和服务一体化规模化专业化市场化绿色低碳清洁供热体系。到2020年，生物质热电联产装机容量超过1200万千瓦，生物质能供热合计折合供暖面积约10亿平方米，年直接替代燃煤约3000万吨。金通灵高邮10MW生物质气化热电多联供项目上取得的成功将为公司在全国范围内布局生物质热电联产项目提供示范。

公司目前已经拥有发电岛集成、空气站集成等相关工程能力和EMC运营资质。

目前，金通灵的农业环保产业园项目得到各地级市政府的广泛关注，此次研讨会上，金通灵与黑龙江省安达市人民政府、黑龙江省密山市人民政府和黑龙江省大庆市大同区人民政府就农业环保产业园的合作建设进行了签约。县域农业环保产业园将成为公司未来主要盈利增长点，公司业务模式将逐步向项目建设和运营升级。"
布局农业环保 金通灵打造生物质应用龙头项目,"https://guba.eastmoney.com/news,300091,745199938.html",2018-02-05 15:59:35,"2018-02-05 中华网投资

2月3日，由中国可再生能源中心主办，江苏金通灵流体机械科技股份有限公司（以下简称“金通灵”）和高邮市林源科技开发有限公司（以下简称“林源科技”）等3家公司承办的“2018农村生物质应用技术研讨会暨高效生物质气化发电技术经验交流会”顺利举行。国家能源局新能源司副司长李创军、国家发改委投资司副司长吕文斌、国家发改委基础司能源处处长綦树利等领导及行业专家出席了此次会议，并对生物质在我国的应用情况及发展前景进行了探讨。

热电多联供项目成果显著，引领行业革命性变革

会上，由金通灵控股的林源科技“10MW生物质气化热电多联供项目”作为近年来我国生物质应用的龙头项目进行了成果展示。该生物质秸秆气化发电项目为国家863计划项目，于2017年9月5日在高邮并网发电成功。是以玉米秆、稻草秆、畜禽粪污等生物质为原料，加工成固体成型燃料，进入生物质气化炉，进行气化发电。同时经过一系列操作后可根据所在地周边需求，最终形成电、热、气、焦油、肥等产品的联产联供。河南省科学院副院长雷廷宙教授认为该项目具有规模适中、原料前期成型从而解决了储运问题、采用了固定化水蒸气和空气联合气化的方式、形成工艺化装置等显著优势，在稳定运营的同时达到了效率最大化。据行业专家估算，项目的理论年利润可达2775万元左右，而实际年利润为2975万元。10MW生物质发电厂投资需1.2亿元，回收期在5-6年（含一年建设期），相较于同类生物质发电项目微利或仅仅盈亏平衡的现状，项目具备革命性影响。

我国农作物秸秆及农产品加工剩余物、林业剩余物等生物质资源丰富，每年可供能源化利用约4亿吨标煤，发展生物质能供热具有较好的资源条件。生物质能供热就地收集原料、就地加工转化、就近消费，布局灵活，适用范围广，适合城镇民用清洁供暖以及替代中小型工业燃煤燃油锅炉。2017年底，国家能源局发布了《关于促进生物质能供热发展的指导意见》，提出加快生物质能供热替代县域及农村燃煤供热，完善支持政策，并建立了中长期的发展目标。《意见》提出，把扩大市场应用、加快形成产业作为发展生物质能供热的基本立足点，构建有利于生物质能供热应用的市场环境和政策环境，建立资源收集、热力生产和服务一体化规模化专业化市场化绿色低碳清洁供热体系。到2020年，生物质热电联产装机容量超过1200万千瓦，生物质能供热合计折合供暖面积约10亿平方米，年直接替代燃煤约3000万吨。

国外，生物质能供热普遍，北欧地区生物质能供热量占供热能源消费总量的42%。相比“煤改气”而言，由于天然气供应趋紧，更宜加快推进“生物质热电联产”项目。金通灵在高邮10MW生物质气化热电多联供项目上取得的成功势必将为公司在全国范围内布局生物质热电联产项目提供了宝贵经验及有力的先决条件。

收购上海运能，布局农业环保产业园

金通灵作为一家上市公司，深耕流体设备行业多年，主打产品压缩机、汽轮机等产品国内技术领先。近年来，公司逐步打入再生能源发电领域，目前已经拥有发电岛集成、空气站集成等相关工程能力和EMC运营资质。公司近日公告收购上海运能100%股权，交易金额7.85亿元。上海运能主要从事余热余压利用、生物质发电等能源电力项目的成套设备供应及技术服务，具备节能环保型锅炉制造能力以及电力行业（新能源发电）专业乙级设计资质。金通灵通过收购上海运能，将在其优势产品高效汽轮机基础上，补齐节能环保型锅炉制造以及工程项目总包能力，从而进一步增强公司在余热余压利用、生物质发电等领域的核心技术优势。同时，公司借助上海运能在生物质发电领域的丰富项目经验、客户资源和环保型锅炉的技术优势，与现有业务产生良好的协同效应，助力公司未来再生能源业务发展。

近期，发改委等三部委发布《关于开展秸秆气化清洁能源利用工程建设的指导意见》，对推广农业环保产业园起到重要的促进作用。金通灵此前就提出了县域农业环保产业园战略规划：根据农用地总量，畜禽养殖总量来设计产业园的规模，协助县域政府解决有机生物废弃物——秸秆、林业废弃物、农村垃圾、畜禽粪污、城市污泥、农村污水等难题，即产业园的主要产品为并网发电，供蒸气，供空调冷源水，供高压空气，生物质焦油，生物炭复合肥，建筑用材，污水处理（五联供：电、汽、热、复合肥及焦油）。

公司估计，一般情况下一个县平均耕地100万亩左右，平均处理率50%左右，对应50万吨秸秆处理需求。公司主要通过自营示范项目和寻找当地企业合作两种模式推进农业环保产业园项目，主要收入来自发电和副产品缓释肥，整个项目回收期6年左右。

目前，金通灵的农业环保产业园项目得到各地级市政府的广泛关注，此次研讨会上金通灵与黑龙江省安达市人民政府、黑龙江省密山市人民政府和黑龙江省大庆市大同区人民政府就农业环保产业园的合作建设进行了签约。县域农业环保产业园将成为公司未来主要盈利增长点，公司业务模式将逐步向项目建设和运营升级，金通灵的成长空间将进一步打开。

金通灵董事长季伟在会议最后表示，公司未来将不是单纯的做生物质气化，而是做农村生物质的应用及周边地区其他需求的综合处理方案。金通灵新模式的探索将会为我国农村及县域发展带来全新的解决方案，在农村生物质有效应用、绿色生态环保及精准扶贫等领域作出巨大贡献。

编辑：田晓湘 来源：中国网
展开阅读全文"
今天这根中阳，直接生拉硬拽地把macd绿柱缩短，后市大家怎么看？,"https://guba.eastmoney.com/news,300091,745194812.html",2018-02-05 15:31:44,今天这根中阳，直接生拉硬拽地把macd绿柱缩短，后市大家怎么看？
这控盘真是可怕，不到最后一秒，永远不知道最后的结果，刚才集合竞价中闪现的15元，,"https://guba.eastmoney.com/news,300091,745188011.html",2018-02-05 15:04:17,这控盘真是可怕，不到最后一秒，永远不知道最后的结果，刚才集合竞价中闪现的15元，以及14.65大家注意到没有？就问你一句，刺不刺激，惊不惊喜。
中央一号文件对公司应该的是大利好,"https://guba.eastmoney.com/news,300091,745156947.html",2018-02-05 13:49:16,中央一号文件对公司应该的是大利好
请问一下各位大神，金通灵重组消息多久可以给回复，证监会材料在18号收到 ，证监会,"https://guba.eastmoney.com/news,300091,744946920.html",2018-02-02 21:16:38,请问一下各位大神，金通灵重组消息多久可以给回复，证监会材料在18号收到 ，证监会多久会给回复，到底有没有成功呀 ！！！ 有人说五个工作日，有人说二十到二个月时间 给回复？？？这个东西有人懂吗？？？
相比今日停牌个股，老大还是有担当的！敢于直面惨淡的股市，敢于承接巨量的砸盘，敢于,"https://guba.eastmoney.com/news,300091,744901373.html",2018-02-02 15:13:04,相比今日停牌个股，老大还是有担当的！敢于直面惨淡的股市，敢于承接巨量的砸盘，敢于收涨，说明老大还是有实力的，就算我的心在淌血，也跟你混了！
早上跌停价买入，抄大底了，收盘挣11.73%[牛][牛][牛],"https://guba.eastmoney.com/news,300091,744903424.html",2018-02-02 15:21:07,早上跌停价买入，抄大底了，收盘挣11.73%
快看，银座股份妖股？庄图形？现在大量单在抢？,"https://guba.eastmoney.com/news,300091,744859259.html",2018-02-02 13:51:01,银座盘了11年，大盘上涨，它一路逆盘缩量打压，历史新低是低量后，莫非这是历史圆底要爆发的节奏？
