标题,链接,发布时间,内容
评级:此股为中级风险评级。 预期:此股明显去泡沫，再20%下跌的可能性，在60元,"https://guba.eastmoney.com/news,300500,589838736.html",2017-01-17 11:54:50,"评级:此股为中级风险评级。
预期:此股明显去泡沫，再20%下跌的可能性，在60元附近止跌企稳，迅速拉起可能性较大。
注意:此贴仅供铁粉看盘参考使用，不引导固化思维的亏损老股民。
阳光:现已经拉黑不合格粉丝3万多，拉黑喷子狗、亏损累累股民约5万。
说明:如你不能加关注我，原因:负能量思维，被关联拉黑，喷子狗，亏损累累股民。
铁粉条件:伸张正能量，三观很阳光，知大局环境，不当大好人，爱憎分明，智慧明事理。
粉丝条件:正能量，三观正，明事理，不偏激，很努力。
现实:市场大多数亏损累累股民亏损原因:不明事理，助纣为虐，反其伤害自己。
正能量:支持正能量大量发行新股脱虚入实英明决策，支持打击负能量游资把新股抄到很高泡沫区套韭菜的可耻行为，谴责山东现货投资咨询公司诱导韭菜炒现货血本无归又喷正能量思维行为，谴责部分浪客大部分主播培养大量韭菜喷子的可耻行为，谴责韭菜自己被套当托发帖拉人垫背买入的可耻行为。
符合预期:提前半年，看空黄金，看多铜铝大宗商品。
符合预期:提前半年，人民币贬值到7附近，时间点。
符合预期:国债回购2016底可做一周，2017年初回购利率回归正常。
符合预期:提前两个月说次新股高送转预期个股会大幅下跌。
现在依旧维持原来判断:看空黄金，看多资源大宗商品煤铜铝铁矿。
关键时刻连续发帖，符合预期:11月底，12月整个月，不断提示次新股高送转预期股会大幅下跌。
负能量:那时恰相反浪客主播范云峰几乎天天说次新股高送转会大幅上涨。
符合预期:曾经断言:范云峰在培养亏损累累韭菜，索取礼物是人品问题，不敢预期未来是知识面不够的能力问题，喷送礼物少的粉丝是道德问题。
正能量:吧里大部分股友现在看空此股是正确的，近期下跌确实未被误杀。
预期:黄金股现在明显高估很多，处于高泡沫区，未来还有40℅下跌可能存在。"
苏州设计:广发证券股份有限公司关于公司首次公开发行股票限售股份上市流通的核查意见,"https://guba.eastmoney.com/news,300500,593730454.html",2017-01-23 18:13:49,"公告日期：2017-01-24
 广发证券股份有限公司



关于苏州设计研究院股份有限公司



首次公开发行股票限售股份上市流通的核查意见



广发证券股份有限公司（以下简称“广发证券”或“保荐机构”）作为苏州设计研究院股份有限公司（以下简称“苏州设计”或“公司”）首次公开发行股票并在创业板上市的保荐机构，根据《证券发行上市保荐业务管理办法》、《深圳证券交易所创业板股票上市规则》、《深圳证券交易所创业板上市公司规范运作指引》等相关法律、法规及规范性文件，对苏州设计首次公开发行股票限售股份上市流通事项进行了核查，核查情况如下：



一、首次公开发行前已发行股份概况



苏州设计研究院股份有限公司经中国证券监督管理委员会证监许可【2016】88号文核准，首次向社会公开发行人民币普通股（A股）股票1,500万股，每股发行价格为20.91元，公司股票于2016年2月4日起在深圳证券交易所创业板上市交易。首次公开发行前，公司总股本为4,500万股，发行上市后，公司总股本为6,000万股。



经公司2016年6月6日召开的2016年第三次临时股东大会审议批准，公司实施了限制性股票激励计划。根据深圳证券交易所、中国证券登记结算有限责任公司深圳分公司的有关规定，公司于2016年7月13日完成了限制性股票首次授予登记工作，本次限制性股票授予日为2016年6月13日，共向69名激励对象首次授予限制性股票150万股。



截止目前，公司总股本为6,150万股；其中，有限售条件股份为4,650万股，占公司总股本的75.61%；无限售条件股份为1,500万股，占公司总股本的24.39%。



二、申请解除股份限售股东履行承诺情况



1、本次申请解除股份限售的股东做出的承诺



本次申请解除股份限售的股东（贲锋等56名股东）在《公司首次公开发行股票并在创业板上市招股说明书》、《公司首次公开发行股票并在创业板上市之上市公告书》中做出的承诺如下：自公司股票上市之日起十二个月内，不转让或者委托他人管理本人直接或者间接持有的公司股份，也不由公司回购本人直接或者间接持有的公司股份。



2、截止公告日，王笑颜共计持有公司限售股份88,000股，其中：在公司首次公开发行股票并上市前持有股份48,000股，将于2017年2月6日解锁，



2016年6月13日，公司实施首次限制性股票激励计划向王笑颜授予限制性股票



40,000股；周玉辉共计持有公司限售股份92,000股，其中：在公司首次公开发行股票并上市前持有股份32,000股，将于2017年2月6日解锁，2016年6月13日，公司实施首次限制性股票激励计划向周玉辉授予限制性股票60,000股。



3、本次申请解除股份限售的股东严格履行了上述内容。



4、本次申请解除股份限售的股东均不存在非经营性占用上市资金的情形，公司不存在对上述股东违规担保的情况。



三、本次解除限售股份的上市流通安排



1、本次解除限售股份的上市流通日期：2017年2月6日（星期一）；



2、本次解除限售的股份数量为1,752,000股，占公司股本总额的2.8488%；



其中，实际可上市流通的数量为1,752,000股，占公司股本总额的2.8488%。



3、本次申请解除股份限售的股东人数为56名，均为自然人股东。



4、股份解除限售及上市流通具体情况如下：



序号 股东全称 所持限售股份 本次解除限售 本次实际可上市流



总（股） 数量（股） 通数量（股）



1 贲锋 64,000 64,000 64,000



2 王宇 64,000 64,000 64,000



3 王宁强 60,000 60,000 60,000



4 汤翔宇 60,000 60,000 60,000



5 朱涛 48,000 ……
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
红包激活码,"https://guba.eastmoney.com/news,300500,594161181.html",2017-01-24 09:57:44,红包激活码
苏州设计:首次公开发行前已发行股份上市流通提示性公告(2017/1/24),"https://guba.eastmoney.com/news,300500,593730773.html",2017-01-23 18:14:33,"公告日期：2017-01-24
 苏州设计研究院股份有限公司



首次公开发行前已发行股份上市流通提示性公告



本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。



特别提示：



1、本次解除限售的股份数量为1,752,000股，占公司股本总额的2.8488%；其中，实际可上市流通的数量为1,752,000股，占公司股本总额的2.8488%。



2、本次限售股份可上市流通日为2017年2月6日（星期一）。



一、首次公开发行前已发行股份概况



苏州设计研究院股份有限公司（以下简称“公司”）经中国证券监督管理委员会证监许可【2016】88号文核准，首次向社会公开发行人民币普通股（A股）股票1,500万股，每股发行价格为20.91元，公司股票于2016年2月4日起在深圳证券交易所创业板上市交易。首次公开发行前，公司总股本为4,500万股，发行上市后，公司总股本为6,000万股。



经公司2016年6月6日召开的2016年第三次临时股东大会审议批准，公司实施了限制性股票激励计划。根据深圳证券交易所、中国证券登记结算有限责任公司深圳分公司的有关规定，本次限制性股票授予日为2016年6月13日，共向69名激励对象首次授予限制性股票150万股，公司于2016年7月13日完成了限制性股票首次授予登记工作，公司总股本由6,000万股增加至6,150万股。



截至本公告披露日，公司总股本为6,150万股；其中，有限售条件股份为4,650万股，占公司总股本的75.61%。



二、申请解除股份限售股东履行承诺情况



1、本次申请解除股份限售的股东做出的承诺



本次申请解除股份限售的股东（贲锋等56名股东）在《公司首次公开发行股票并在创业板上市招股说明书》与《公司首次公开发行股票并在创业板上市之上市公告书》中做出的承诺一致，具体如下：自公司股票上市之日起十二个月内，不转让或者委托他人管理本人直接或者间接持有的公司股份，也不由公司回购本人直接或者间接持有的公司股份。



2、截止公告日，王笑颜共计持有公司限售股份88,000股，其中：在公司首次公开发行股票并上市前持有股份48,000股，将于2017年2月6日解锁，



2016年6月13日，公司实施首次限制性股票激励计划向王笑颜授予限制性股票



40,000股；周玉辉共计持有公司限售股份92,000股，其中：在公司首次公开发行股票并上市前持有股份32,000股，将于2017年2月6日解锁，2016年6月13日，公司实施首次限制性股票激励计划向周玉辉授予限制性股票60,000股。



3、本次申请解除股份限售的股东严格履行了上述内容。



4、本次申请解除股份限售的股东均不存在非经营性占用上市资金的情形，公司不存在对上述股东违规担保的情况。



三、本次解除限售股份的上市流通安排



1、本次解除限售股份的上市流通日期：2017年2月6日（星期一）；



2、本次解除限售的股份数量为1,752,000股，占公司股本总额的2.8488%；



其中，实际可上市流通的数量为1,752,000股，占公司股本总额的2.8488%。



3、本次申请解除股份限售的股东人数为56名，均为自然人股东。



4、股份解除限售及上市流通具体情况



序号 股东全称 所持限售股份 本次解除限售 本次实际可上市 备注



总数(股） 数量(股） 流通数量(股）



1 贲锋 64,000 64,000 64,000



2 王宇 64,000 64,000 64,000



3 王宁强 60,000 60,000 60,000



4 汤翔宇 60,000 60,000 60,000



5 朱涛 48,000 48,000 48,000



6 周永贵 48,000 48,000 48,000



7 ……
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
下周创业板将暴跌有破1800点的可能，苏州设计破75元势不可挡。,"https://guba.eastmoney.com/news,300500,588245177.html",2017-01-14 22:15:24,
心想事成600708年是骗子,"https://guba.eastmoney.com/news,300500,592725005.html",2017-01-21 19:30:55,心想事成600708年是狗骗子
杀跌机构用T+0 普通投资人用T+1 有无这种可能？,"https://guba.eastmoney.com/news,300500,592129079.html",2017-01-19 17:22:23,口袋妖怪即将登陆中国。
明天接着跌[大笑][大笑],"https://guba.eastmoney.com/news,300500,592062902.html",2017-01-19 14:59:06,明天接着跌
苏州设计:关于公司更名及修改《公司章程》部分条款的公告,"https://guba.eastmoney.com/news,300500,590259584.html",2017-01-17 20:10:12,"公告日期：2017-01-18
证券代码：300500 证券简称：苏州设计 公告编号：2017-008



苏州设计研究院股份有限公司



关于公司更名及修改《公司章程》部分条款的公告



本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。



苏州设计研究院股份有限公司（以下简称“公司”）于 2017年1月 17日召



开第二届董事会第十五次会议，会议审议通过了《关于公司更名及修改〈公司章程〉部分条款的议案》，公司拟将公司名称“苏州设计研究院股份有限公司”变更为“启迪设计集团股份有限公司”。



公司本次拟变更名称主要基于如下考虑：1、随着公司业务的持续发展，公司在设计能力、创意水平、项目经验、团队建设、客户服务能力等方面积淀了较强的综合优势，在业务范围上，已由单一独立的以区域性市场为主导的建筑设计业务，逐步向面向全国的覆盖工程建设产业链全过程的策划咨询、区域规划、设计总包、项目管理等多元化全产业链模式转型升级。在未来，公司将以提升人居环境品质为核心理念、以建设工程领域创新技术集成为特色，努力成为提供全方位、一体化服务的人居环境技术集成的引领者；2、在公司控股股东苏州赛德投资管理股份有限公司（以下简称“赛德投资”）引进战略投资者启迪（北京）科技城投资发展有限公司的契机与背景下，公司与启迪控股达成全面业务合作，公司未来将借助控股股东的资源平台，进一步实现业务、市场、技术等多方面的提升。



综上，公司本次更名能够更好的符合未来经营战略，有助于未来业务拓展与品牌树立，加快促进全国化布局和发展。



公司拟向工商行政管理部门申请变更公司名称，并对《公司章程》相关条款进行修订，并提交 2017年第一次临时股东大会审议，审议通过后公司将按照工商行政管理局的相关要求，办理公司名称变更、章程修订等相应事项的公司变更登记。



本次《公司章程》修改的具体内容如下：



原第四条公司注册名称：苏州设计研究院股份有限公司



现修改为公司注册名称：启迪设计集团股份有限公司。



证券代码：300500 证券简称：苏州设计 公告编号：2017-008



公司名称以工商行政管理部门实际核定为准，该事项需提交股东大会审议。



特此公告。



苏州设计研究院股份有限公司董事会



2017年1月18日




[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
老套路，尾盘砸下来[大笑][大笑],"https://guba.eastmoney.com/news,300500,592046692.html",2017-01-19 14:36:38,老套路，尾盘砸下来
要破71,"https://guba.eastmoney.com/news,300500,591862993.html",2017-01-19 09:32:49,要破71
好股，拭目以待！,"https://guba.eastmoney.com/news,300500,591577281.html",2017-01-18 21:51:38,好股，拭目以待！
深圳本地股启动；关注002681奋达科技,"https://guba.eastmoney.com/news,300500,591558869.html",2017-01-18 21:30:39,掘金央企改革风口，低位机会不容错过
说了你们不信，现在买进半年100至少,"https://guba.eastmoney.com/news,300500,591217272.html",2017-01-18 16:42:08,说了你们不信，现在买进半年100至少
心想事成600708年是到处发帖唱空的骗子,"https://guba.eastmoney.com/news,300500,591426022.html",2017-01-18 19:37:07,心想事成600708年是到处发帖唱空的骗子
兴业投资：美联储决议今日登场 金价先行退却,"https://guba.eastmoney.com/news,300500,591398849.html",2017-01-18 19:14:46,房产产权不是永久的，收税？
