标题,链接,发布时间,内容
黑木耳牛牛大妈拼命说这股不是高科技！,"https://guba.eastmoney.com/news,002751,180872528.html",2015-06-28 11:13:57,他的黑木耳漂白是高科技啊，看来，用自己家的洗衣粉，同意的兄弟根帖顶我啊！
牛牛女人自己买新股亏了好多次还贴交易单受刺激来这里了,"https://guba.eastmoney.com/news,002751,180908461.html",2015-06-28 19:21:49,自己买了海利生物然后马上就亏钱，有交易单，又买威帝股份，有交易单又亏，受刺激了到这里象狗一样诅咒！
易尚展示:2014年度股东大会的法律意见书,"https://guba.eastmoney.com/news,002751,180896761.html",2015-06-28 17:07:03,"公告日期：2015-06-29
 北京国枫律师事务所

网址：www.grandwaylaw.com

深圳市南山区高新南一道008号创维大厦C座12层

电话:0755-23993388传真:0755-86186205邮编：518057

北京上海深圳成都西安

北京国枫（深圳）律师事务所

关于深圳市易尚展示股份有限公司

2014年度股东大会的法律意见书

国枫律股字[2015]C0065号

致：深圳市易尚展示股份有限公司

北京国枫（深圳）律师事务所（以下简称“本所”）接受深圳市易尚展示股份有限公司（以下简称“贵公司”）的委托，指派律师出席了贵公司召开的2014年度股东大会现场会议。本所律师根据《中华人民共和国公司法》（以下简称“《公司法》”）、《中华人民共和国证券法》（以下简称“《证券法》”）、《上市公司股东大会规则》等法律、法规和规范性文件以及《深圳市易尚展示股份有限公司章程》（以下简称“《公司章程》”）的有关规定，出具本法律意见书。

为出具本法律意见书，本所律师审查了贵公司提供的有关召开本次股东大会相关文件的原件或影印件，包括但不限于：

1.贵公司于2015年6月3日刊载在中国证监会指定信息披露网站的《深圳市易尚展示股份有限公司第二届董事会2015年第四次会议决议》（以下简称“《董事会第四次会议决议》”）；

2.贵公司于2015年6月3日刊载在中国证监会指定信息披露网站的《深圳市易尚展示股份有限公司关于召开2014年度股东大会通知的公告》（以下简称“《年

度股东大会公告》”）；

3.贵公司于2015年6月15日刊载在中国证监会指定信息披露网站的《深圳市易尚展示股份有限公司第二届董事会2015年第五次会议决议》（以下简称“《董事会第五次会议决议》”）；

4.贵公司于2015年6月15日刊载在中国证监会指定信息披露网站的《深圳市易尚展示股份有限公司关于增加2014年度股东大会临时议案暨召开2014年度股东大会补充通知的公告》（以下简称“《补充通知》”）；

5.贵公司于2015年6月15日刊载在中国证监会指定信息披露网站的《深圳市易尚展示股份有限公司关于召开2014年度股东大会的提示性公告》；（以下简称“《提示性公告》”）；

6.股东名册、股东身份证明文件及授权委托书等。

本法律意见书仅作为贵公司本次股东大会公告的法定文件使用，非经本所律师书面同意不得用于其他用途。

本所律师现根据有关法律、法规及规范性文件的要求，按照律师行业公认的业务标准、道德规范和勤勉尽责的精神，对本次股东大会出具如下法律意见：一、关于本次股东大会的召集和召开程序

（一）本次股东大会的召集

根据贵公司董事会于2015年6月3日刊载的《董事会第四次会议决议》和《股东大会公告》，本所律师认为，贵公司本次股东大会的召集方式符合《公司法》等法律、法规及规范性文件的规定，符合《公司章程》的有关规定。

（二）本次股东大会的召开

1.根据《年度股东大会公告》，贵公司召开本次股东大会的通知已提前十五日以公告方式做出，符合《公司法》及《公司章程》的有关规定。

2.根据《补充通知》，贵公司股东临时议案的通知已提前十日以公告方式做出，符合《公司法》及《公司章程》的有关规定。

2.根据《董事会第四次会议决议》、《董事会第五次会议决议》、《年度股东大会公告》、《补充通知》和《提示性公告》，贵公司有关本次股东大会会议通知的主要内容有：会议召集人、会议召开方式、会议时间、会议地点、会议审议事项、出席会议的对象、会议登记办法及其他事项等，该会议通知的内容符合《公司章程》的有关规定。

3.本次股东大会以现场会议及网络投票相结合方式召开，现场会议于2015年6月26日（星期五）下午14:30在深圳市福田区新洲南路深圳文化创意园二期B座三楼举行。现场会议召开的实际时间、地点与会议通知中所告知的时间、地点一致。

4.除现场会议外，贵公司还通过深圳证券交易所交易系统和互联网投票系统向股东提供了网络形式的投票平台。其中，通过深圳证券交易所交易系统进行网络投票的具体时间为：2015年6月26日上午9:30至11:30，下午13:00至15:00；通过深圳证券交易所……
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
转战引力传媒，这股到顶了,"https://guba.eastmoney.com/news,002751,180892238.html",2015-06-28 16:10:12,转战引力传媒，这股到顶了
我说句最中肯的话。易尚今年内可见60元。三年后可见600元。自己斟酌。别tm和牛,"https://guba.eastmoney.com/news,002751,180882598.html",2015-06-28 13:48:31,我说句最中肯的话。易尚今年内可见60元。三年后可见600元。自己斟酌。别tm和牛牛女人斗嘴。都是对的。关键是长短的问题。
如果易尚到100元江苏有线就破发,"https://guba.eastmoney.com/news,002751,180876162.html",2015-06-28 12:05:03,无所谓了！如果易尚到１００，江苏有线就破发
别的新股都腰斩，易尚这么强两个跌停不行吗？,"https://guba.eastmoney.com/news,002751,180871120.html",2015-06-28 10:56:35,死也要根着强者！如果你买航新科技，江苏有线呢？
加息了，如果高送转明天到，连续涨停可期,"https://guba.eastmoney.com/news,002751,180811427.html",2015-06-27 18:16:05,加息了，如果高送转明天到，连续涨停可期
不管是赚了还是赔了。易尚展示大庄家是本年度最佳主力。一样观点的进来。,"https://guba.eastmoney.com/news,002751,178790820.html",2015-06-19 10:37:59,不管是赚了还是赔了。易尚展示大庄家是本年度最佳主力。一样观点的进来。
请问意造网的3d打印运营模式是不是和贵公司的拓展方向形成竞争？,"https://guba.eastmoney.com/news,002751,915410388.html",2015-06-30 10:05:00,"请问意造网的3d打印运营模式是不是和贵公司的拓展方向形成竞争？ 
易尚退
易尚展示：谢谢您对易尚展示的关注！易尚展示在3D领域，致力于3D数字内容的快速获取，与意造网发展的方向、模式不同，不会形成竞争关系。谢谢！
(来自深交所互动易)答复时间 2015-06-30 10:05:00"
看到大盘跌成这样。无理由的悲哀。易尚的朋友有几人听了我的的话啊！我在发玩帖第二天,"https://guba.eastmoney.com/news,002751,180753662.html",2015-06-27 11:25:22,看到大盘跌成这样。无理由的悲哀。易尚的朋友有几人听了我的的话啊！我在发玩帖第二天就离开了
愿赌服输 割肉清仓！199的高位不走 现在大盘已坏 146走吧。损失惨重，学,"https://guba.eastmoney.com/news,002751,180734271.html",2015-06-27 09:48:14,"愿赌服输 割肉清仓！

199的高位不走 现在大盘已坏 146走吧。损失惨重，学费太高。"
请问公司目前主业主要有三块，传统的展示业务，循环展示业务以及3D业务。目前从构成,"https://guba.eastmoney.com/news,002751,915410392.html",2015-06-30 10:03:00,"请问公司目前主业主要有三块，传统的展示业务，循环展示业务以及3D业务。目前从构成上看，传统的展示业务占据绝对大比例。公司对循环展示业务以及3D业务是怎么规划的？有计划在2015的收入占比中预计能达到多少？ 
易尚退
易尚展示：: 谢谢您对易尚展示的关注！终端展示行业是公司的基础性业务，经营长达10多年，循环会展和虚拟展示业务是近年来公司着力培育和发展的新业务，因此传统业务目前比重相对占绝大比例。未来，公司力争成为我国终端展示业务的龙头企业，在可循环利用的展示系统和在互联网上的虚拟展示方面加大市场拓展，使之成为公司未来的重要增长点。因为三块业务都处于动态发展中，其相对比重目前尚无预计。谢谢！
(来自深交所互动易)答复时间 2015-06-30 10:03:00"
今天股东大会都说了什么,"https://guba.eastmoney.com/news,002751,180477790.html",2015-06-26 12:31:23,知道的说说
"为什么关于3D的信息很少,招股说明书也没有详细介绍.3D+影像馆现在经营的怎么样","https://guba.eastmoney.com/news,002751,915410408.html",2015-06-30 09:54:00,"为什么关于3D的信息很少,招股说明书也没有详细介绍.3D+影像馆现在经营的怎么样?希望公司抓住先机,迅速拓展市场,才能不辜负大家的期望 
易尚退
易尚展示：: 谢谢您对易尚展示的关注！招股说明书严格按照IPO规则和格式要求进行撰写，2014年及之前公司在3D数字化方面主要是进行技术研发，所形成的财务成果较少，相对公司传统业务写的稍少一些。目前公司3D影像馆的经营一切正常，而且在推动公司3D服务走向社会大众和展示公司品牌形象发挥着越来越多的作用。现阶段公司正不遗余力的推动3D业务的行业应用。谢谢！
(来自深交所互动易)答复时间 2015-06-30 09:54:00"
江苏索普怪不得前几天索普高管和索普集团高位减持，原来是有内幕！,"https://guba.eastmoney.com/news,002751,180496485.html",2015-06-26 13:22:33,江苏索普怪不得前几天索普高管和索普集团高位减持，原来是有内幕！
好 又搞了2手,"https://guba.eastmoney.com/news,002751,180374594.html",2015-06-26 09:34:02,怕怕啊
牛市已经没有了 一桑必破20元,"https://guba.eastmoney.com/news,002751,180464572.html",2015-06-26 11:47:23,哈哈
每当有人唱多我都默默卖掉了。。,"https://guba.eastmoney.com/news,002751,180427564.html",2015-06-26 10:49:48,每当有人唱多我都默默卖掉了。。
易尚展示恒健康,"https://guba.eastmoney.com/news,002751,178607636.html",2015-06-18 17:42:02,庄家机构潜伏其中，伺机而动--155.98暗示明天大阳线。
买了二百股~~~!!!!!,"https://guba.eastmoney.com/news,002751,180415898.html",2015-06-26 10:32:00,"181.263,能涨起来吗？？？？？？ 何时 ？？？？"
越跌越买,"https://guba.eastmoney.com/news,002751,180399774.html",2015-06-26 10:07:40,越跌越买
100以下  考虑 买入,"https://guba.eastmoney.com/news,002751,180368117.html",2015-06-26 09:19:31,加油
这个票只有割肉,"https://guba.eastmoney.com/news,002751,180384409.html",2015-06-26 09:49:06,这个票只有割肉
难道就这么隆重迎接明天的股东大会吗,"https://guba.eastmoney.com/news,002751,180179610.html",2015-06-25 14:45:05,难道就这么隆重迎接明天的股东大会吗
165等着你喔,"https://guba.eastmoney.com/news,002751,180145871.html",2015-06-25 13:48:43,来吧
120  等你呀,"https://guba.eastmoney.com/news,002751,180168376.html",2015-06-25 14:27:34,不着急
暴风科技300431和易尚展示002751分别是创业板和中小板的大旗。＂暴风大D,"https://guba.eastmoney.com/news,002751,915417645.html",2015-06-25 17:30:00,"暴风科技300431和易尚展示002751分别是创业板和中小板的大旗。＂暴风大DT娱乐＂与＂易尚3D＋＂各有千秋，希望易尚早日实现并购类似＂杭州新迪＂的3D专业细分微小企业，做完整的3D产业链龙头。 
易尚退
易尚展示：谢谢您对易尚展示的关注！谢谢您的建议！
(来自深交所互动易)答复时间 2015-06-25 17:30:00"
