标题,链接,发布时间,内容
竞价买的，不知道明天,"https://guba.eastmoney.com/news,002733,660383142.html",2017-06-25 18:51:17,凡是低量反弹都是耍流氓
且每天都在3只以上,"https://guba.eastmoney.com/news,002733,660366414.html",2017-06-25 17:30:24,指数在周四最终也是以下跌的方式收盘
准备拉中石油了,"https://guba.eastmoney.com/news,002733,660220634.html",2017-06-24 21:36:00,寻找超跌小盘黑马，关注:日上集团，准[献
如果多头进攻无力,"https://guba.eastmoney.com/news,002733,660201809.html",2017-06-24 19:35:52,日线沪指收出小阴线
2016年最后的一个交易周将造成一系列指数的不同周期的大航母,"https://guba.eastmoney.com/news,002733,660161215.html",2017-06-24 15:28:33,首先就要将这个漏洞堵死
好强大的控制能力。不破1%,"https://guba.eastmoney.com/news,002733,660144451.html",2017-06-24 13:25:31,说多少也赶不上时间和事实的证明，每次到了这种
[牛],"https://guba.eastmoney.com/news,002733,660100817.html",2017-06-24 08:05:43,看大盘指数就恶心 能不能换个招
收报3139点；深市三大主要指数联袂收出小阴线,"https://guba.eastmoney.com/news,002733,659997662.html",2017-06-23 21:50:42,不入虎穴焉得虎子
买盘不济（缩量）造成了股指欲振乏力,"https://guba.eastmoney.com/news,002733,659935539.html",2017-06-23 18:35:48,就有一个亿的筹码
绿了一天，收前盘一分钟翻红，呵呵,"https://guba.eastmoney.com/news,002733,659931767.html",2017-06-23 18:23:48,低价填权加雄安加环保建材。 抢权在即，手慢拍
国家队就是牛,"https://guba.eastmoney.com/news,002733,659875652.html",2017-06-23 15:53:39,创业板明天将大幅度上涨！（新一轮牛市启动
反对多的时候请悄悄买入,"https://guba.eastmoney.com/news,002733,617534063.html",2017-03-15 15:40:49,一天算白玩了，回到起点了。
B股筹码少，无增发，无IPO，更没大小非，股价是,"https://guba.eastmoney.com/news,002733,659811818.html",2017-06-23 13:55:12,今日收评
600050,"https://guba.eastmoney.com/news,002733,659810458.html",2017-06-23 13:53:06,犹豫不前就得提防再次下杀的风险
0002733熊套 谁买谁倒霉,"https://guba.eastmoney.com/news,002733,659808477.html",2017-06-23 13:50:36,0002733熊套 谁买谁倒霉
绿毛龟你有什么大利空，跌这么多，去死吧,"https://guba.eastmoney.com/news,002733,659788546.html",2017-06-23 13:15:34,绿毛龟你有什么大利空，跌这么多，去死吧
 k线系统,"https://guba.eastmoney.com/news,002733,659769673.html",2017-06-23 12:30:14,需要留意的是
小亏就走吧,"https://guba.eastmoney.com/news,002733,659736896.html",2017-06-23 11:29:21,下午开盘吓死人，都知道7.1是个什么日子、
估计大盘在3100点附近还将会折腾一段时间,"https://guba.eastmoney.com/news,002733,659734639.html",2017-06-23 11:26:23,更体现了管理层对市场的多头思维
两市共成交金额3970亿元,"https://guba.eastmoney.com/news,002733,659724912.html",2017-06-23 11:15:57,大盘延续弱势分化是不可能避免的
昨天晚上是谁说今天要一字涨停的，笑死我了,"https://guba.eastmoney.com/news,002733,659338183.html",2017-06-22 17:03:56,昨天晚上是谁说今天要一字涨停的，笑死我了
熊霸股份，垃圾股赶紧退市得了。 利好也跌。,"https://guba.eastmoney.com/news,002733,659694900.html",2017-06-23 10:31:42,熊霸股份，垃圾股赶紧退市得了。 利好也跌。
但两市大小非减持却似乎不手软,"https://guba.eastmoney.com/news,002733,659673723.html",2017-06-23 09:59:13,增量资金不足的同时IPO大扩容却仍持续不断
火箭发射马上开始！今天探底回升V形反转下午大,"https://guba.eastmoney.com/news,002733,659665647.html",2017-06-23 09:46:16,双针，，插住，，
但从去年5月停牌,"https://guba.eastmoney.com/news,002733,659475173.html",2017-06-22 22:13:25,参照近两年格力电器的高分红
0.98元业绩股价不到10,"https://guba.eastmoney.com/news,002733,659639364.html",2017-06-23 08:48:51,双针探底，明天要让黑色星期四变晴吗
什么垃圾，这么大的利好大跌,"https://guba.eastmoney.com/news,002733,659472004.html",2017-06-22 22:06:03,什么垃圾，这么大的利好大跌
都以为今天涨停，结果大跌。。都知道明天大跌，会不会大涨呢？,"https://guba.eastmoney.com/news,002733,659452596.html",2017-06-22 21:16:14,好事多磨。平常心！
三大指数皆破坏位，尾盘突击，明天一个都跑不掉！阿斗与刘几年让亿万股民没一天好日子,"https://guba.eastmoney.com/news,002733,659279812.html",2017-06-22 15:17:38,"三大指数皆破坏位，尾盘突击，明天一个都跑不掉！阿斗与刘几年让亿万股民没一天好日子过！操！损失多少血汉钱的人们，终究会爆发的！
明天，逃命吧！愿大家平安！[不赞][不赞][不赞]"
牛来了，翻红了,"https://guba.eastmoney.com/news,002733,659290695.html",2017-06-22 15:36:48,什么时候可以稳住？中国股市为什么总是涨一年跌
这股狗屎啊！昨天涨一点，今天全部跌下来，牛！,"https://guba.eastmoney.com/news,002733,659261415.html",2017-06-22 14:55:16,这股狗屎啊！昨天涨一点，今天全部跌下来，牛！
反抽不会成功,"https://guba.eastmoney.com/news,002733,659239769.html",2017-06-22 14:31:00,大批伪专家正在路上！
没有资金炒作，撤退…,"https://guba.eastmoney.com/news,002733,659096170.html",2017-06-22 10:49:12,没有资金炒作，撤退…
今年八月25日有4411万股定向增发股减持！,"https://guba.eastmoney.com/news,002733,659131283.html",2017-06-22 11:32:01,怎么拉升？
