标题,链接,发布时间,内容
现在是抄垃圾年代，撤了,"https://guba.eastmoney.com/news,300281,777444915.html",2018-08-09 11:05:20,现在是抄垃圾年代，撤了
请问贵公司2016年非公开发行股票是多少,"https://guba.eastmoney.com/news,300281,776571947.html",2018-08-04 21:38:17,"请问贵公司2016年非公开发行股票是多少钱一股。公告我看不懂。 
金明精机
金明精机：尊敬的投资者朋友，您好！公司于2017年9月成功实施非公开发行股票，新增股份35,832,849股人民币普通股（A股），发行价格为12.87元/股。公司于2018年6月完成2017年权益分派工作，分红派息后的发行价格约为8.57元/股。感谢您对公司的关注和支持。
(来自深交所互动易)答复时间 2018-08-07 10:34:00"
狗东西,"https://guba.eastmoney.com/news,300281,776505761.html",2018-08-03 17:32:49,狗东西
金明精机08月08日资金揭秘,"https://guba.eastmoney.com/news,300281,777287368.html",2018-08-08 16:39:56,"今日金明精机主力净流入额达-63.19万元，净占比-7.80%，
其中超大单净流入额0.00元,净占比0.00%，
大单净流入额-63.19万元，净占比-8.23%。







































金明精机资金流向数据

类型	流入(万元)	流出(万元)
超大	0.00	0.00
大单	20.60	-83.79
中单	257.97	-301.81
小单	489.54	-382.51




资金解读





金明精机收盘涨幅-1.16%， 
其中，成交最活跃的价格分别为5.14、5.15、5.17，成交密集的手数区间分布于70-100、200-300、100-150手，小单介入居多。











成交活跃统计


9:30-15:00 成交均价 5.09













































成交价格	主买累计成交量	主卖累计成交量	主买占比	主卖占比
5.14	124946	80500	7.88%	5.07%
5.15	102400	28454	6.45%	1.79%
5.17	31600	1000	1.99%	0.06%
5.18	13500	0	0.85%	0.00%
5.16	5650	50	0.36%	0.00%












































成交手数分布	主买累计成交量	主卖累计成交量	主买估算笔数	主卖估算笔数
70-100	161200	47500	1612 	475 
200-300	74554	0	249 	0 
100-150	36300	34694	242 	231 
150-200	0	65794	0 	329 
300-500	35400	30000	71 	60 




左右拖动表格，可查看剩余表格内容


行业个股资金流

























































机械行业成分股主力净流入排行
序号	代码	名称	涨幅	主力净流入
1	000852	石化机械 	10.05%	6133.60万
2	600388	龙净环保 	-0.16%	2020.50万
3	600499	科达洁能 	4.15%	1728.17万
4	002664	长鹰信质 	-0.08%	1366.42万
5	601985	中国核电 	1.62%	1108.01万
129	300281	金明精机 	-1.16%	-63.19万


数据来源:东方财富






展开阅读全文"
金明精机:关于控股股东、实际控制人质押股份部分购回的公告,"https://guba.eastmoney.com/news,300281,777052392.html",2018-08-07 17:00:39,"公告日期：2018-08-07

证券代码：300281 证券简称：金明精机 公告编号：2018-050
广东金明精机股份有限公司

关于控股股东、实际控制人质押股份部分购回的公告
本公司及董事会全体人员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏。

广东金明精机股份有限公司（以下简称“公司”）近日接到公司控股股东、实际控制人马镇鑫先生关于将其持有的公司股份办理股份质押部分购回的通知，具体情况如下：

一、股东股份部分购回的基本情况

1、股东股份部分购回的基本情况

本次购
股东 是否为第一 购回股数 质押开始 回股份
名称 大股东及一 （股） 日期 购回交易日 质权人 占其所
致行动人 持股份
比例
2017年11 广发证券

马镇鑫 是 100 月21日 2018年8月6日 股份有限 0.00%
公司

2017年11 广发证券

马镇鑫 是 100 月7日 2018年8月7日 股份有限 0.00%
公司

合 计 - 200 - - - 0.00%
2、股东股份累计被质押的情况

截至公告披露日，公司总股本为418,923,580股，马镇鑫先生共持有公司股份162,706,500股，占公司总股本的38.84%，其中累计被
质押的股份为87,149,800股，占本公司总股本的20.80%。

二、备查文件

1、《股票质押式回购业务交易确认书》

特此公告。

广东金明精机股份有限公司董事会
二〇一八年八月七日


[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。"
该股能涨，买入,"https://guba.eastmoney.com/news,300281,777150321.html",2018-08-08 10:26:14,。。。。。
它爱长多少是多少 权当这股票不存在  ,"https://guba.eastmoney.com/news,300281,777100066.html",2018-08-08 01:59:01,比比今天谁买到最低价？
金明精机08月07日资金揭秘,"https://guba.eastmoney.com/news,300281,777047618.html",2018-08-07 16:39:07,"今日金明精机主力净流入额达21.43万元，净占比1.86%，
其中超大单净流入额0.00元,净占比0.00%，
大单净流入额21.43万元，净占比1.88%。







































金明精机资金流向数据

类型	流入(万元)	流出(万元)
超大	0.00	0.00
大单	72.96	-51.53
中单	500.68	-555.47
小单	565.19	-531.83




资金解读





金明精机收盘涨幅1.76%， 
其中，成交最活跃的价格分别为5.16、5.18、5.17，成交密集的手数区间分布于70-100、100-150、150-200手，小单介入居多。











成交活跃统计


9:30-15:00 成交均价 5.13













































成交价格	主买累计成交量	主卖累计成交量	主买占比	主卖占比
5.16	247050	69700	11.00%	3.10%
5.18	93000	184100	4.14%	8.20%
5.17	108250	123100	4.82%	5.48%
5.19	113500	19250	5.05%	0.86%
5.20	30400	4300	1.35%	0.19%












































成交手数分布	主买累计成交量	主卖累计成交量	主买估算笔数	主卖估算笔数
70-100	97800	211000	978 	2110 
100-150	89550	84200	597 	561 
150-200	33250	119050	166 	595 
200-300	41500	84900	138 	283 
300-500	30000	40000	60 	80 




左右拖动表格，可查看剩余表格内容


行业个股资金流

























































机械行业成分股主力净流入排行
序号	代码	名称	涨幅	主力净流入
1	000425	徐工机械 	6.19%	13565.06万
2	000528	柳工 	9.09%	9302.97万
3	600031	三一重工 	5.73%	7225.58万
4	000157	中联重科 	3.74%	3265.72万
5	601002	晋亿实业 	10.03%	3215.95万
99	300281	金明精机 	1.76%	21.43万


数据来源:东方财富






展开阅读全文"
军合力不齐，踌躇而雁行。,"https://guba.eastmoney.com/news,300281,777031980.html",2018-08-07 15:27:09,盘跌创新低已成趋势，警惕Ice
无量无换手，废也,"https://guba.eastmoney.com/news,300281,776984862.html",2018-08-07 13:34:36,，
