标题,链接,发布时间,内容
上一次隔夜及时澄清还是15年历史新高14快多的时候了！这次又来！[滴汗][滴汗],"https://guba.eastmoney.com/news,600031,872444953.html",2019-08-23 11:25:07,上一次隔夜及时澄清还是15年历史新高14快多的时候了！这次又来！
大妈炒的不是股，是寂寞,"https://guba.eastmoney.com/news,600031,872444193.html",2019-08-23 11:23:32,大妈炒的不是股，是寂寞
开盘买了点，涨的太快，不敢追了,"https://guba.eastmoney.com/news,600031,872439706.html",2019-08-23 11:15:34,开盘买了点，涨的太快，不敢追了
吓死胆小的，撑死胆大的！要跑的抓紧，要进的也抓紧，主力强势进入！下午继续上杨！,"https://guba.eastmoney.com/news,600031,872438735.html",2019-08-23 11:13:52,"吓死胆小的，撑死胆大的！
要跑的抓紧，要进的也抓紧，主力强势进入！下午继续上杨！"
大资金要有大动作了，这么大的量压盘，三一还在起平的路上,"https://guba.eastmoney.com/news,600031,872433150.html",2019-08-23 11:04:28,RT
昨天终于被我抄了个底，在徐工机械亏了，还是龙大哥给力[拜神],"https://guba.eastmoney.com/news,600031,872432614.html",2019-08-23 11:03:34,昨天终于被我抄了个底，在徐工机械亏了，还是龙大哥给力
三一重工利好，再加利好,"https://guba.eastmoney.com/news,600031,872430562.html",2019-08-23 10:59:58,"昨晚媒体刊登大利好(大家都已看到，在此不再陈述），今早所谓的澄清公告，等于将利好给了再次的确认！所以是利好再加利好！今天走势确定不涨也难，三一重工今天走出了短期少见的大涨也是情理之中。本应在下周启动突破14元，由于昨晚的突发利好所提前。那么14将会经过巩固之后行程有效突破，必将踩在脚下，走向既定目标18元。在目前市场处于震荡中，未来的道路是曲折的，当中也不会一帆风顺，18元或许在国庆70周年大庆前后应该会看到。只要守得住耐心，相信丰厚的收益也不会辜负你！


个人观点仅供参考"
厉害了，我的哥。把我洗了70%,"https://guba.eastmoney.com/news,600031,872435729.html",2019-08-23 11:08:56,厉害了，我的哥。把我洗了70%
涨停了，不用看，一点点的涨，,"https://guba.eastmoney.com/news,600031,872435611.html",2019-08-23 11:08:45,涨停了，不用看，一点点的涨，
不会搞涨停了吧，我还没上车呢！,"https://guba.eastmoney.com/news,600031,872435486.html",2019-08-23 11:08:33,不会搞涨停了吧，我还没上车呢！
三一重工没封过板！,"https://guba.eastmoney.com/news,600031,872435240.html",2019-08-23 11:08:07,三一重工没封过板！
三一重工没封过板！,"https://guba.eastmoney.com/news,600031,872435226.html",2019-08-23 11:08:01,三一重工没封过板！
