标题,链接,发布时间,内容
白瞎了科技这俩字[滴汗],"https://guba.eastmoney.com/news,002564,807052463.html",2019-03-05 10:30:25,白瞎了科技这俩字
天沃加油冲一下，速度封板了！,"https://guba.eastmoney.com/news,002564,807060360.html",2019-03-05 10:43:40,"天沃加油冲一下，速度封板了！
"
你看那上影长又长,"https://guba.eastmoney.com/news,002564,806968606.html",2019-03-04 19:50:59,"不要着急问为什么下午会走成这样！先回顾一下周末文章内容（见上图）第二条明显不符合条，所以我下午也跟着了结了一下，降低了仓位，具体在后面大盘分析中再谈。
 
今天想跟大家聊的是周末霸屏的“科创板细则”。具体规则已经相信大家已经有所了解，我就不再赘述了，只是想跟大家交流一下我的一点想法……
 
先在这里问一下大家？假如你符合科创板的门槛条件，你会去炒科创板吗？
我的答案是会，但是我不建议没有经历过无涨跌幅限制市场的你去做。为什么？
 
第一：由于A股的涨跌幅限制使得本身A股的参与者风险控制意识就很薄弱，更别提止损意识了。A股参与者大部分潜意识中认为拿着不动总会回来的，但科创板真的不一样。不建议没有过无涨跌幅限制市场操作经验的人去参与。
 
第二：“科创板细则”的出台，犯了A股的通病。说是优化了股份减持制度，只说了锁定期缩短了，却并没有相应的出台措施如何限制这些创业者“逃跑式”减持，且所谓最严的退市制度，却对于投资者的赔偿制度没有强调。谁来赔？怎么赔？比例多少？等问题不说清楚，难道遇见“乐视”、“长生”、“信威”们投资者就活该自认倒霉吗？
 
我选择会去炒，是因为我接触过期货，大宗等高风险交易品种。且只打算前期参与，炒个新鲜、热乎劲儿就收手得了。根本问题不解决的创新市场，保护的说不上是谁的利益呢！
步子迈大了容易扯到蛋，是对今天大盘的真实写照。跳空式高开跨越3000点是有多嚣张？让去年套在3000点上方的资金置自己于何处？人家不要面子的啊？所以这里有所反复也属正常，但这里还是要感叹一下这茬“新韭菜”长的真茁壮！
 
上影线虽然难看，但量能还是健康的，所以我倾向于这里会有所震荡。之前在2月收官之战结束的文章里我提过，周线上方有跳空缺口且超买，月线双中期均线叠加压顶，不是那么好冲破的，只是没想到来的这么快。我是后面开始看调整了，大家请随意。但这里的退潮不会那么快，还会有反复挣扎，这就为反复腾挪、炒作提供了温床。所以我看调不做空（因为毕竟长期趋势是好的）继续在局部寻找机会，除非市场的赚钱效应减弱到一定程度再收手。
上一篇文章里说了券商，保险完了是参股金融，顺序别搞错。券商情绪看东方财富，中信建投，保险看中国人保，空间看国盛金控明天能不能加速。参股金融就盯着大智慧然后找低位吧！太平洋我还会继续再找找低吸的机会。
都在之前文章里了，看截图吧！这也是一条线。
加分项，往其它热点上贴，比如高端制造。今天也上了一只叠加参股金融又低价的，看看明天有没有溢价。高度看天和防务即可，这只股走势很有意思，资金运作明显。
这个是新题材，看看后续表现。涉及的比较广，今天挖掘了边缘计算，所以贴到5G上去了。个人认为后面还可以挖掘，本质上说这都是科技概念的延伸，所以往芯片上应该也有所蔓延，大家可以留意挖掘一进二跟首板中去找机会。
加分项！加分项！加分项！重要的事情说三遍。前面文章的标的太平洋今天挂在3.99没成交，整个人都不好了。同样是军工+低价+高端制造，通裕重工表现的如此不济却上了车，连纯低价的庞大集团都比它强，溜了……溜了……看后面有没有机会再接回。
PS：大体的思路在文章里已经说了，降仓位选择下午在昨天收盘价出的通裕重工，下午打板了部分天沃科技，也是别人吹的票，因为看着价位比较低，又叠加概念较多就跟着风看看明天能不能获取点溢价（今天依然没有跑赢大盘，面壁思过去了……）
 
（来源：炒股精神好的财富号 2019-03-04 19:42）[点击查看原文]
展开阅读全文"
我靠8%！！涨停的节奏！,"https://guba.eastmoney.com/news,002564,807060505.html",2019-03-05 10:43:57,涨停！！！
我又割肉了……,"https://guba.eastmoney.com/news,002564,807058947.html",2019-03-05 10:41:22,我又割肉了……
该来的不会不来 可能迟到,"https://guba.eastmoney.com/news,002564,807058831.html",2019-03-05 10:41:08,该来的不会不来 可能迟到
超多概念的四不像，谁追谁套！,"https://guba.eastmoney.com/news,002564,807056037.html",2019-03-05 10:36:46,加油套
超过概念的四不像！值得被套住！,"https://guba.eastmoney.com/news,002564,807053578.html",2019-03-05 10:32:27,1
天沃科技 超多概念 你值得拥有,"https://guba.eastmoney.com/news,002564,807052278.html",2019-03-05 10:30:03,光伏 低价 高端装备 军工 信托 金融 准备上车
现在这行情都不敢卖股，卖了再想买回来都不是这个价了,"https://guba.eastmoney.com/news,002564,806829167.html",2019-03-04 11:03:54,现在这行情都不敢卖股，卖了再想买回来都不是这个价了
一下子出来这么多唱多的跟利好的帖子,"https://guba.eastmoney.com/news,002564,807050953.html",2019-03-05 10:27:35,千篇一律的套路 哈哈哈
已经废了[大笑],"https://guba.eastmoney.com/news,002564,807050626.html",2019-03-05 10:27:00,已经废了
扶不起的阿斗……,"https://guba.eastmoney.com/news,002564,807050437.html",2019-03-05 10:26:39,扶不起的阿斗……
天沃出货喽，出货喽，看有没有追高的出来走两步！,"https://guba.eastmoney.com/news,002564,807047688.html",2019-03-05 10:21:43,1
割韭菜喽！,"https://guba.eastmoney.com/news,002564,807047340.html",2019-03-05 10:20:55,割韭菜喽！
涨一点卖一点，一直压盘出货，天河防务其他几个都涨停了，要涨停刚才就冲涨停了,"https://guba.eastmoney.com/news,002564,807044517.html",2019-03-05 10:15:33,不会等到现在，今天完了，套死了
天沃科技：金融 光伏 低价 军工 高端装备 信托  超多概念 你值得拥有,"https://guba.eastmoney.com/news,002564,807044654.html",2019-03-05 10:15:46,
资金一直在出货啊，今天追高的套死！,"https://guba.eastmoney.com/news,002564,807043836.html",2019-03-05 10:14:23,1
期指高枕无忧    静待两点半    黑色星期二,"https://guba.eastmoney.com/news,002564,807043627.html",2019-03-05 10:14:02,道琼斯给力
攻不上去了，还得天海防务啊！,"https://guba.eastmoney.com/news,002564,807042513.html",2019-03-05 10:11:57,今天一直在出货啊！
上攻乏力,"https://guba.eastmoney.com/news,002564,807040573.html",2019-03-05 10:08:18,换手不低 短线客可以考虑了
估计明天口子开一开 继续板[微笑][微笑][微笑],"https://guba.eastmoney.com/news,002564,806924702.html",2019-03-04 14:57:54,估计明天口子开一开 继续板
大盘接近尾声，问题股和ST开始发力。,"https://guba.eastmoney.com/news,002564,807003417.html",2019-03-05 07:10:29,雷多也不用怕！
短线的可以撤了,"https://guba.eastmoney.com/news,002564,807038375.html",2019-03-05 10:04:26,已经上攻乏力了 换手率也不低了
发财富吧人呢？,"https://guba.eastmoney.com/news,002564,807018813.html",2019-03-05 09:24:46,怎么股票一涨人就失踪了呢？？？
这么大的量是公司有什么事情发生了？每个单都那么大是好是坏…………,"https://guba.eastmoney.com/news,002564,807023711.html",2019-03-05 09:37:44,这么大的量是公司有什么事情发生了？每个单都那么大是好是坏…………
不要接力,"https://guba.eastmoney.com/news,002564,807029367.html",2019-03-05 09:48:40,不要接力
技术不行，6.02走了，以后再来逛了,"https://guba.eastmoney.com/news,002564,807025904.html",2019-03-05 09:42:11,技术不行，6.02走了，以后再来逛了
同方出货、逃命机会、早晚S,"https://guba.eastmoney.com/news,002564,807024026.html",2019-03-05 09:38:26,同方出货、逃命机会、早晚S
封单很小，明天跌停。,"https://guba.eastmoney.com/news,002564,806958666.html",2019-03-04 18:12:03,封单很小，明天跌停。
3.5号别忘了第一时间卖出，有人在公众号吹票要出货了,"https://guba.eastmoney.com/news,002564,806993523.html",2019-03-04 23:58:30,3.5号别忘了第一时间卖出，有人在公众号吹票要出货了
今天是不是很多人下车了[大笑],"https://guba.eastmoney.com/news,002564,806935849.html",2019-03-04 15:43:44,今天是不是很多人下车了
天沃科技:关于完成工商变更登记的公告,"https://guba.eastmoney.com/news,002564,806962894.html",2019-03-04 18:55:16,"公告日期：2019-03-05


证券代码：002564 证券简称：天沃科技 公告编号：2019-034

苏州天沃科技股份有限公司



关于完成工商变更登记的公告



本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有

虚假记载、误导性陈述或重大遗漏。



苏州天沃科技股份有限公司（以下简称“公司”）于2019年2月1日召开第三届董事会第五十次会议，会议审议通过了《关于变更公司法定代表人的议案》，公司法定代表人由陈玉忠先生变更为林钢先生。具体内容详见公司于2019年2月2日在《证券时报》、《证券日报》和《上海证券报》及巨潮资讯网（http://www.cninfo.com.cn）披露的《关于变更公司法定代表人的公告》（公告编号：2019-021）。



近日，公司已完成相关工商变更登记手续，并取得了江苏省市场监督管理局换发的《营业执照》，相关变更信息如下：



一、本次工商变更登记的主要事项



变更事项 变更前 变更后



法定代表人 陈玉忠 林钢



二、变更后的《营业执照》详细信息



统一社会信用代码：91320500703676365K



名 称：苏州天沃科技股份有限公司



类 型：股份有限公司(上市)



住 所：江苏省张家港市金港镇长山村临江路1号



法定代表人：林钢



注册资本：88291.44万元人民币



成立日期：2001年03月31日



营业期限：2001年03月31日至2051年03月30日



经营范围：设计制造:A1级高压容器、A2级第三类低、中压容器；制造:A级锅炉部件(限汽包)。一般经营项目:石油、化工、医学、纺织、化纤、食品机械制造维修；机械配件购销；槽罐车安装销售；海洋工程装备的设计与制造；自



证券代码：002564 证券简称：天沃科技 公告编号：2019-034

营和代理各类商品及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)



特此公告。



苏州天沃科技股份有限公司董事会

2019年3月5日




[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
今天涨停板出来的才是高手,"https://guba.eastmoney.com/news,002564,806976028.html",2019-03-04 20:57:22,今天涨停板出来的才是高手
收半年线！,"https://guba.eastmoney.com/news,002564,806961336.html",2019-03-04 18:38:47,收半年线！
天沃科技03月04日资金揭秘,"https://guba.eastmoney.com/news,002564,806949472.html",2019-03-04 17:08:09,"





今日天沃科技主力净流入额达2764.61万元，净占比10.88%，
其中超大单净流入额2935.86万元,净占比11.60%，
大单净流入额-171.26万元，净占比-0.68%。







































天沃科技资金流向数据

类型	流入(万元)	流出(万元)
超大	4655.36	-1719.49
大单	6436.24	-6607.50
中单	8067.23	-9422.87
小单	6143.12	-7552.09




资金解读





天沃科技收盘涨幅9.98%，今日成交密集时间集中于

9:58-10:27

，区间涨幅0.08%，
区间成交均价5.61，
区间成交量占当日成交量的46.23%，
区间主动买入量占区间成交量的55.25%。





其中，区间成交最活跃的价格分别为5.73、5.70、5.72，区间成交密集的手数区间分布于700-1000、1000-1500、3000-5000手，中单介入居多。








成交活跃区间统计


9:58-10:27区间成交均价5.61













































成交价格	主买累计成交量	主卖累计成交量	主买占比	主卖占比
5.73	1836800	2361609	8.76%	11.26%
5.70	792898	274900	3.78%	1.31%
5.72	493547	79347	2.35%	0.38%
5.69	373098	80100	1.78%	0.38%
5.71	181153	138800	0.86%	0.66%












































成交手数分布	主买累计成交量	主卖累计成交量	主买估算笔数	主卖估算笔数
700-1000	457000	322781	457	323
1000-1500	361600	271191	241	181
3000-5000	382998	0	77	0
2000-3000	222000	0	74	0
1500-2000	150500	0	75	0




左右拖动表格，可查看剩余表格内容


行业个股资金流

























































机械行业成分股主力净流入排行
序号	代码	名称	涨幅	主力净流入
1	600031	三一重工	7.65%	34018.12万
2	002008	大族激光	4.97%	12956.03万
3	000425	徐工机械	4.49%	11565.95万
4	000338	潍柴动力	6.18%	9215.16万
5	002903	宇环数控	10.02%	5173.73万
10	002564	天沃科技	9.98%	2764.61万


数据来源:东方财富






展开阅读全文"
割肉了，你他妈涨停了,"https://guba.eastmoney.com/news,002564,806870654.html",2019-03-04 13:22:27,
哎呀  涨停了啊,"https://guba.eastmoney.com/news,002564,806940443.html",2019-03-04 16:13:37,今天没来得及看 竟然涨停了 恭喜有此股的朋友了
绿盘卖了你就涨停，气死了,"https://guba.eastmoney.com/news,002564,806866188.html",2019-03-04 13:13:55,绿盘卖了你就涨停，气死了
是走是留看着办[亏大了],"https://guba.eastmoney.com/news,002564,806899622.html",2019-03-04 14:16:15,是走是留看着办
可千万顶住啊,"https://guba.eastmoney.com/news,002564,806898318.html",2019-03-04 14:14:22,可千万顶住啊
还不走,"https://guba.eastmoney.com/news,002564,806893784.html",2019-03-04 14:06:33,还不走
请大家注意今天的开板时间！,"https://guba.eastmoney.com/news,002564,806861973.html",2019-03-04 13:05:48,在下午一点半左右？
昨晚食了伟哥了吗，终于硬了一次了,"https://guba.eastmoney.com/news,002564,806881988.html",2019-03-04 13:44:41,昨晚食了伟哥了吗，终于硬了一次了
出货好时机。,"https://guba.eastmoney.com/news,002564,806873615.html",2019-03-04 13:28:20,出货好时机。
吸引场外资金进场！,"https://guba.eastmoney.com/news,002564,806848158.html",2019-03-04 11:45:47,信托自救，不知内情的一定进了。
减了点仓，主力你是砸还是拉[大笑][大笑][大笑],"https://guba.eastmoney.com/news,002564,806859006.html",2019-03-04 12:52:49,减了点仓，主力你是砸还是拉
今天不跑路，明天两行泪！,"https://guba.eastmoney.com/news,002564,806857118.html",2019-03-04 12:40:40,今天不跑路，明天两行泪！
每个月的前三个交易日内必须发布回购公告，今天是第二天了，今天量放的非常大，半天已,"https://guba.eastmoney.com/news,002564,806855076.html",2019-03-04 12:26:46,每个月的前三个交易日内必须发布回购公告，今天是第二天了，今天量放的非常大，半天已经两个亿了，换手率也非常高，公告会有大利好，期待中……
请问公司在太阳能光热发电方面是否是龙头企业？,"https://guba.eastmoney.com/news,002564,804733473.html",2019-02-18 15:09:00,"请问公司在太阳能光热发电方面是否是龙头企业？
*ST天沃
天沃科技：您好，感谢您对天沃科技的关心和支持！公司子公司玉门鑫能光热第一电力有限公司正在积极推进甘肃玉门郑家沙窝熔盐塔式5万千瓦光热发电项目，该项目是国家能源局确定的首批20个光热示范项目之一，项目建设处于正常推进过程中，其采用的二次反射技术与传统塔式光热技术相比，具有安全性高、成本低、光学利用效率提高等显著优势。本项目的实施，将有助于公司在光热发电领域抢占先机，公司将积极开拓包括光热发电等清洁能源相关的业务，致力于成为国际一流的电力工程、新能源与清洁能源综合服务商。谢谢！
(来自深交所互动易)答复时间 2019-02-18 15:09:00"
割肉2564,"https://guba.eastmoney.com/news,002564,806831294.html",2019-03-04 11:08:14,割肉2564
下午涨停吗[大笑],"https://guba.eastmoney.com/news,002564,806843800.html",2019-03-04 11:30:53,下午涨停吗
请问公司目前在粤港澳大湾区签订的《东莞市中堂燃气热电联产项目EPC总承包合同》涉,"https://guba.eastmoney.com/news,002564,807752590.html",2019-03-07 16:59:00,"请问公司目前在粤港澳大湾区签订的《东莞市中堂燃气热电联产项目EPC总承包合同》涉及合同金额是多少？对一季报或半年报有没有影响？
*ST天沃
天沃科技：尊敬的投资者，您好！感谢您对天沃科技的关心和支持！《东莞市中堂燃气热电联产项目EPC总承包合同》项目总金额184,820万元，该合同工期为2018年9月8日起至2020年1月31日。根据公司的收入确认原则，本合同预计在2018年、2019年和2020年确认收入，年均合同金额6.16亿元，占公司经审计的2017年度营业收入的5.92%。本合同的履行预计将对公司2018、2019、2020年度经营业绩产生积极影响。目前，该项目尚在继续开展中，公司将继续开拓包括粤港澳大湾区在内的海内外能源工程EPC总承包业务，持续加强对区域电厂、自备电站、热电联产项目、输变电网络、风电、光伏和光热等新能源电站的服务，努力回馈广大投资者。关于前述合同的详情，请查阅公司2018年8月28日在公司指定信息披露媒体《中国证券报》、《证券时报》、《上海证券报》以及巨潮资讯网上披露的《重大合同公告》。谢谢！
(来自深交所互动易)答复时间 2019-03-07 16:59:00"
补涨啊，大盘都涨飞了，这属于超级滞涨股啊，涨幅落后于99%的股票，补涨,"https://guba.eastmoney.com/news,002564,806812557.html",2019-03-04 10:33:56,补涨啊，大盘都涨飞了，这属于超级滞涨股啊，涨幅落后于99%的股票，补涨
跑路，做差价的好机会！,"https://guba.eastmoney.com/news,002564,806830434.html",2019-03-04 11:06:37,跑路，做差价的好机会！
我就说你个家伙怎么还不动,"https://guba.eastmoney.com/news,002564,806829812.html",2019-03-04 11:05:17,我就说你个家伙怎么还不动
5.63卖出天沃科技 4.09接盘黄河旋风 留下的兄弟们发财 如果天沃跌回5.4,"https://guba.eastmoney.com/news,002564,806822844.html",2019-03-04 10:52:49,"5.63卖出天沃科技 4.09接盘黄河旋风
留下的兄弟们发财 如果天沃跌回5.4我会回来接盘的 当做个t 留了底仓"
跑！,"https://guba.eastmoney.com/news,002564,806815792.html",2019-03-04 10:40:17,跑！
刚刚好激动[大笑],"https://guba.eastmoney.com/news,002564,806799990.html",2019-03-04 10:11:14,刚刚好激动
谁能解释一下这一波想涨停是什么意思？？？,"https://guba.eastmoney.com/news,002564,806794668.html",2019-03-04 10:01:59,这个股冲涨停，有点接手不了的感觉
请问公司目前回购股份情况？请问公司有没有认为目前公司股价低估？怎么不加大回购力度,"https://guba.eastmoney.com/news,002564,804383719.html",2019-02-14 15:45:00,"请问公司目前回购股份情况？请问公司有没有认为目前公司股价低估？怎么不加大回购力度？
*ST天沃
天沃科技：您好，感谢您对天沃科技的关心和支持！截至2019年1月31日，公司以集中竞价方式共计回购股份4,667,323股，占公司总股本的0.53%，最高成交价为5.23元/股，最低成交价为5.03元/股，支付的总金额为23,999,558.54元（含佣金、过户费等交易费用）。具体关于公司回购股份的情况详见公司于2019年2月2日在指定信息披露媒体《中国证券报》、《上海证券报》、《证券时报》和巨潮资讯网上刊载的相关公告。谢谢！
(来自深交所互动易)答复时间 2019-02-14 15:45:00"
请问:公司业绩预大降，那中机电力的业绩承诺还作数不？,"https://guba.eastmoney.com/news,002564,804383724.html",2019-02-14 15:44:00,"请问:公司业绩预大降，那中机电力的业绩承诺还作数不？
*ST天沃
天沃科技：您好，感谢您对天沃科技的关心和支持！公司子公司中机电力目前经营状况良好，各项业务正在有序开展中，其对公司的业绩承诺仍在正常履行。谢谢！
(来自深交所互动易)答复时间 2019-02-14 15:44:00"
天沃科技:2018年度业绩快报公告,"https://guba.eastmoney.com/news,002564,806231767.html",2019-02-27 20:16:40,"公告日期：2019-02-28

证券代码：002564 证券简称：天沃科技 公告编号：2019-032

苏州天沃科技股份有限公司

2018年度业绩快报公告

本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有

虚假记载、误导性陈述或重大遗漏。

特别提示：

本公告所载2018年度的财务数据仅为初步核算数据，已经公司内部审计部门审计，未经

会计师事务所审计，与年度报告中披露的最终数据可能存在差异，请投资者注意投资风险。

一、2018年度主要财务数据和指标

单位：元

项目 本报告期 上年同期 增减变动幅度（％）
营业总收入 7,944,718,380.63 10,403,683,552.02 -23.64%

营业利润 199,701,014.34 275,913,083.79 -27.62%

利润总额 190,793,429.27 267,201,357.08 -28.60%

归属于上市公司股东的净利润 72,860,129.45 225,145,578.55 -67.64%

基本每股收益（元） 0.0887 0.31 -71.39%

加权平均净资产收益率 2.18% 8.66% -6.48%

项目 本报告期末 本报告期初 增减变动幅度（％）
总资产 25,960,490,681.80 22,586,717,443.96 14.94%

归属于上市公司股东的所有者权益3,793,407,333.49 2,712,090,017.31 39.87%

股本 882,914,400.00 735,762,000.00 20.00%

归属于上市公司股东的每股净资产 4.30 3.69 16.53%

（元）

注：上述数据以公司合并报表数据填列。截至2018年12月31日，公司总股本为

882,914,400.00股，已回购3,874,223股，根据《深圳证券交易所上市公司回购股份实施细

则》的规定，上市公司计算定期报告中每股收益等相关指标时，发行在外的总股本以扣减回

购专用账户中的股份数为准。

二、经营业绩和财务状况情况说明

（一）经营业绩


证券代码：002564 证券简称：天沃科技 公告编号：2019-032
2018年，随着国内宏观经济运行保持在低位运行区间。在此背景下，公司围绕“打造国际一流电力工程、新能源与清洁能源的综合性服务商；军民融合锻造国防科工建设重要力量”战略部署，抓住上海电气控股公司的机遇，积极应对市场带来的竞争环境变化，推进各业务板块调整发展，公司业务保持了稳定运行态势。

报告期内，公司实现营业总收入794,471.84万元，较上年同期下降23.64%；营业利润19,970.10万元，较上年同期下降27.62%；利润总额19,079.34万元，较上年同期下降28.60%；归属于上市公司股东的净利润7,286.01万元，较上年同期下降67.64%。报告期内，公司经营业绩下降的主要原因是：

1、报告期内，公司营业收入下降，主要是电力工程总包业务项目结构发生变化，新能源业务方面由于光伏市场萎缩，造成新能源业务收入减少，报告期风电项目增长，但风电项目建设周期较长，收入的增长暂未显现出来。

2、报……
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
这股基本面在走下坡路！,"https://guba.eastmoney.com/news,002564,806429619.html",2019-02-28 17:41:47,原来的大股东把股权转让的原因，他们自己最清楚。
科创板注册制落地，新股将蜂拥而出分流资金，现在每周几只的新股节奏弱爆了啊,"https://guba.eastmoney.com/news,002564,806691254.html",2019-03-02 10:17:23,"科创板注册制落地，新股将蜂拥而出分流资金，现在每周几只的新股节奏弱爆了啊
"
今天又纠杀了一批。,"https://guba.eastmoney.com/news,002564,806607790.html",2019-03-01 14:46:45,今天又纠杀了一批。
5.12全部割肉了 轻松多了,"https://guba.eastmoney.com/news,002564,806331528.html",2019-02-28 11:17:08,5.12全部割肉了 轻松多了
已经守不住了，该来的还是要来，别抱有幻想了,"https://guba.eastmoney.com/news,002564,806562347.html",2019-03-01 13:07:41,"已经守不住了，该来的还是要来，别抱有幻想了
"
主力和大户在跑，散户在抢着进[大笑][大笑][大笑],"https://guba.eastmoney.com/news,002564,805841168.html",2019-02-26 10:06:37,主力和大户在跑，散户在抢着进
天沃科技03月01日资金揭秘,"https://guba.eastmoney.com/news,002564,806638717.html",2019-03-01 17:06:19,"





今日天沃科技主力净流入额达176.89万元，净占比2.20%，
其中超大单净流入额200.79万元,净占比2.55%，
大单净流入额-23.90万元，净占比-0.30%。







































天沃科技资金流向数据

类型	流入(万元)	流出(万元)
超大	260.23	-59.44
大单	1675.66	-1699.56
中单	3218.85	-3380.74
小单	2706.82	-2721.82




资金解读





天沃科技收盘涨幅2.16%，
其中，成交最活跃的价格分别为5.17、5.18、5.20，成交密集的手数区间分布于200-300、150-200、300-500手，中单介入居多。











成交活跃统计


9:30-15:00成交均价5.11













































成交价格	主买累计成交量	主卖累计成交量	主买占比	主卖占比
5.17	1229200	657100	7.84%	4.19%
5.18	740000	106600	4.72%	0.68%
5.20	371600	251900	2.37%	1.61%
5.21	553700	18600	3.53%	0.12%
5.19	449100	89000	2.86%	0.57%












































成交手数分布	主买累计成交量	主卖累计成交量	主买估算笔数	主卖估算笔数
200-300	867100	456804	2890	1523
150-200	458500	422504	2293	2113
300-500	368700	509000	737	1018
500-700	282600	166200	404	237
700-1000	228400	150100	228	150




左右拖动表格，可查看剩余表格内容


行业个股资金流

























































机械行业成分股主力净流入排行
序号	代码	名称	涨幅	主力净流入
1	000338	潍柴动力	4.92%	18164.69万
2	600218	全柴动力	10.00%	10398.29万
3	002526	山东矿机	10.16%	8641.90万
4	601608	中信重工	9.95%	3668.28万
5	601106	中国一重	10.08%	3654.33万
47	002564	天沃科技	2.16%	176.89万


数据来源:东方财富






展开阅读全文"
还在压着回购？,"https://guba.eastmoney.com/news,002564,806610459.html",2019-03-01 14:51:12,还在压着回购？
晚上第二次公告，已经回购的数量，估计大的吓人，抢筹中……,"https://guba.eastmoney.com/news,002564,806590751.html",2019-03-01 14:13:51,晚上第二次公告，已经回购的数量，估计大的吓人，抢筹中……
头部已经形成5.15出了，还是要买强势股，换st毅达天天涨停,"https://guba.eastmoney.com/news,002564,806587075.html",2019-03-01 14:05:01,短期目标4元，信达证券成控股股东一旦借壳st毅达股价20不稀奇
看看这里多少庄狗托,"https://guba.eastmoney.com/news,002564,806585825.html",2019-03-01 14:02:20,看看这里多少庄狗托
发达了，发达了，老子每股赚了两毛多，呵呵呵呵,"https://guba.eastmoney.com/news,002564,806059300.html",2019-02-27 09:50:09,哈哈哈哈，你们羡慕嫉妒恨吧，呵呵呵呵......
真的要调整了,"https://guba.eastmoney.com/news,002564,806506670.html",2019-03-01 10:05:27,真的要调整了
看看上海国资委所有的上市公司都像是一坨坨牛屎,"https://guba.eastmoney.com/news,002564,806421260.html",2019-02-28 16:44:49,看看上海国资委所有的上市公司都像是一坨坨牛屎
3年没有一个利好消息的垃圾公司，拿着传给孙子么？,"https://guba.eastmoney.com/news,002564,806540354.html",2019-03-01 11:14:08,"3年没有一个利好消息的垃圾公司，拿着传给孙子么？
"
主力压盘，走吧,"https://guba.eastmoney.com/news,002564,806519410.html",2019-03-01 10:32:18,主力压盘，走吧
今天就让你们见识见识上海国资委举牌的天沃大垃圾！,"https://guba.eastmoney.com/news,002564,806382757.html",2019-02-28 14:21:02,沉狱中及其同都会被抓紧监狱，跑吧！
