标题,链接,发布时间,内容
赔死了，艹,"https://guba.eastmoney.com/news,600792,609078471.html",2017-02-15 14:35:39,赔死了，艹
这股明显跑路的节奏嘛[亏大了][亏大了][亏大了],"https://guba.eastmoney.com/news,600792,609071564.html",2017-02-15 14:24:40,这股明显跑路的节奏嘛
快跌停[拜神][拜神][拜神],"https://guba.eastmoney.com/news,600792,609069173.html",2017-02-15 14:20:51,快跌停
变僵尸股了,"https://guba.eastmoney.com/news,600792,609043404.html",2017-02-15 13:34:17,变僵尸股了
有能的破产,"https://guba.eastmoney.com/news,600792,609036291.html",2017-02-15 13:20:50,有能的破产
上午主力辛苦了，下午继续加油[鼓掌],"https://guba.eastmoney.com/news,600792,609007014.html",2017-02-15 11:36:37,上午主力辛苦了，下午继续加油
稳稳的吃细水长流，,"https://guba.eastmoney.com/news,600792,609033517.html",2017-02-15 13:15:00,稳稳的吃细水长流，
挂900000股不得力呢[摊手],"https://guba.eastmoney.com/news,600792,608999267.html",2017-02-15 11:20:46,挂900000股不得力呢
减持,"https://guba.eastmoney.com/news,600792,608952901.html",2017-02-15 09:57:45,减持
死死压着,"https://guba.eastmoney.com/news,600792,608995752.html",2017-02-15 11:14:02,死死压着
没有理由不,"https://guba.eastmoney.com/news,600792,608989968.html",2017-02-15 11:03:10,没有理由不
还有1800000股，回踩5日线我就买回来[加油],"https://guba.eastmoney.com/news,600792,608988544.html",2017-02-15 11:00:43,还有1800000股，回踩5日线我就买回来
台于一身，没有理由不,"https://guba.eastmoney.com/news,600792,608988179.html",2017-02-15 11:00:08,台于一身，没有理由不
今天起码做5个点以上，炸弹拿在手里才最有威胁[大笑],"https://guba.eastmoney.com/news,600792,608965910.html",2017-02-15 10:21:00,今天起码做5个点以上，炸弹拿在手里才最有威胁
挣完云煤了，朋友们去转战益盛药业了，市值小股价适中,"https://guba.eastmoney.com/news,600792,608964729.html",2017-02-15 10:18:46,挣完云煤了，朋友们去转战益盛药业了，市值小股价适中
这两天 是不是进来了一堆韭菜？怎么一个都不认识,"https://guba.eastmoney.com/news,600792,608965821.html",2017-02-15 10:20:51,这两天 是不是进来了一堆韭菜？怎么一个都不认识
有个3400000股的炸弹还没引爆，你敢来挑战它么？,"https://guba.eastmoney.com/news,600792,608964262.html",2017-02-15 10:17:59,有个3400000股的炸弹还没引爆，你敢来挑战它么？
那么大的单压着，你家等钱烧纸吗,"https://guba.eastmoney.com/news,600792,608960857.html",2017-02-15 10:12:01,那么大的单压着，你家等钱烧纸吗
5.9等接盘,"https://guba.eastmoney.com/news,600792,608959231.html",2017-02-15 10:08:57,5.9等接盘
今天开盘就死死压着36000估计主力不让涨，我还是先出来等主力打压下来再买，做个,"https://guba.eastmoney.com/news,600792,608942368.html",2017-02-15 09:37:36,今天开盘就死死压着36000估计主力不让涨，我还是先出来等主力打压下来再买，做个小T
今天很怪异 加上昨天那么大量 后市必有大动作…,"https://guba.eastmoney.com/news,600792,608957957.html",2017-02-15 10:06:39,今天很怪异 加上昨天那么大量 后市必有大动作…
做人不要太嚣张,"https://guba.eastmoney.com/news,600792,608955313.html",2017-02-15 10:01:53,赤裸裸的秀，我操杀你。
本韭菜到哪哪里必跌，对不住各位[好困惑][好困惑][好困惑],"https://guba.eastmoney.com/news,600792,608954705.html",2017-02-15 10:00:52,本韭菜到哪哪里必跌，对不住各位
破6元我再买回来.呵呵呵,"https://guba.eastmoney.com/news,600792,608943351.html",2017-02-15 09:39:40,正所谓高抛低吸.嘎嘎嘎
我涨停出仓.现在感觉良好,"https://guba.eastmoney.com/news,600792,608941177.html",2017-02-15 09:35:02,
@@尼妹开盘就开始压大单,"https://guba.eastmoney.com/news,600792,608940099.html",2017-02-15 09:32:37,？？？？？？？？？？？？？？？？？？？？
好像一根上吊线，明天不妙,"https://guba.eastmoney.com/news,600792,608864115.html",2017-02-15 00:10:43,好像一根上吊线，明天不妙
隐形的翅膀的，中旗股份无公害农药专制今年大虫灾。,"https://guba.eastmoney.com/news,600792,607376028.html",2017-02-13 11:22:45,隐形的翅膀的，中旗股份无公害农药专制今年大虫灾。
有的是清仓式减持,"https://guba.eastmoney.com/news,600792,608926618.html",2017-02-15 08:36:51,格力电器、美的集团和五粮液占据了深股通交易金额最大的前三位
云煤能源 到嘴的肉 跑不掉 上涨目标价位 精进！,"https://guba.eastmoney.com/news,600792,607590439.html",2017-02-13 14:39:31,云煤能源到嘴的肉 跑不掉 上涨目标价位 精进！
终将王者归来,"https://guba.eastmoney.com/news,600792,608675928.html",2017-02-14 16:21:46,"终将王者归来
"
能不能涨一分,"https://guba.eastmoney.com/news,600792,608613815.html",2017-02-14 14:55:26,能不能涨一分
今天走势还是不错的。,"https://guba.eastmoney.com/news,600792,608605875.html",2017-02-14 14:46:55,今天走势还是不错的。
