发布时间,标题中性分数,标题积极分数,标题消极分数,评论中性分数,评论积极分数,评论消极分数
2015-04-07,0.0,0.0,0.9179620742797852,0.0,0.0,0.9179620742797852
2015-06-02,0.9999048709869385,0.0,0.0,0.9999105930328369,0.0,0.0
2015-06-03,0.9999020099639893,0.0,0.0,0.9994581341743469,0.0,0.0
2015-06-04,0.999912679195404,0.0,0.0,0.9999132752418518,0.0,0.0
2015-06-25,0.9999110698699951,0.0,0.0,0.9999110698699951,0.0,0.0
2015-07-03,0.9998871684074402,0.0,0.0,0.49993568658828735,0.4767202138900757,0.0
2015-07-06,0.0,0.0,0.9996073842048645,0.0,0.0,0.9996073842048645
2015-07-22,0.9999125003814697,0.0,0.0,0.0,0.0,0.99954754114151
2015-07-23,0.9999122023582458,0.0,0.0,0.9997564107179642,0.0,0.0
2015-07-24,0.592069673538208,0.19995182752609253,0.18577537536621094,0.5997266054153443,0.0,0.3914482831954956
2015-07-25,0.0,0.0,0.9995846152305603,0.0,0.0,0.999586284160614
2015-07-27,0.5998391747474671,0.0,0.39981340169906615,0.7999302625656128,0.0,0.19989417791366576
2015-07-28,0.8570666313171387,0.0,0.1420282976967948,0.7142215285982404,0.14282201869147165,0.1427998968533107
2015-07-29,0.8887790706422594,0.0,0.11105958620707194,0.8885295391082764,0.0,0.11105958620707194
2015-07-30,0.6654863278071086,0.3180360873540243,0.0,0.8551573793093363,0.0,0.10480906168619791
2015-07-31,0.49906593561172485,0.48990921676158905,0.0,0.7490411400794983,0.24990662932395935,0.0
2015-08-03,0.7841060970510755,0.049020588397979736,0.14278770344597952,0.9998383905206408,0.0,0.0
2015-08-04,0.8800853312015533,0.0,0.09996084570884704,0.6999386668205261,0.0,0.2998349130153656
2015-08-05,0.8332162400086721,0.0,0.15931016206741333,0.8329474230607351,0.0,0.15931016206741333
2015-08-06,0.9999024868011475,0.0,0.0,0.9999054670333862,0.0,0.0
2015-08-07,0.7999063491821289,0.0,0.19991124868392945,0.7999164819717407,0.0,0.19991124868392945
2015-08-10,0.6841978542506695,0.0,0.24892327934503555,0.6249376833438873,0.12496673315763474,0.23133080452680588
2015-08-11,0.6627325614293417,0.16662660241127014,0.12398378054300944,0.8332491318384806,0.0,0.12398378054300944
2015-08-12,0.6665998299916586,0.0,0.3327478567759196,0.9998981555302938,0.0,0.0
2015-08-13,0.9162391225496928,0.08331455290317535,0.0,0.9995638529459635,0.0,0.0
2015-08-14,0.9940094351768494,0.0,0.0,0.9999115467071533,0.0,0.0
2015-08-15,0.4584011435508728,0.0,0.49934110045433044,0.4999529719352722,0.0,0.4995496869087219
2015-08-16,0.9999123811721802,0.0,0.0,0.9999123811721802,0.0,0.0
2015-08-17,0.666603684425354,0.33319292465845746,0.0,0.9999119838078817,0.0,0.0
2015-08-20,0.6666026910146078,0.0,0.33299559354782104,0.9998951355616251,0.0,0.0
2015-08-21,0.9999070167541504,0.0,0.0,0.9999064207077026,0.0,0.0
2015-08-24,0.9997748881578445,0.0,0.0,0.9997754842042923,0.0,0.0
2015-08-25,0.9999049305915833,0.0,0.0,0.9305850267410278,0.0,0.0
2015-08-26,0.9999076724052429,0.0,0.0,0.9999136328697205,0.0,0.0
