发布时间,标题中性分数,标题积极分数,标题消极分数,评论中性分数,评论积极分数,评论消极分数
2019-03-07,0.9999020099639893,0.0,0.0,0.9999020099639893,0.0,0.0
2019-03-08,0.0,0.9997792840003967,0.0,0.0,0.9997791647911072,0.0
2019-03-10,0.9999139308929443,0.0,0.0,0.9999127388000488,0.0,0.0
2019-03-18,0.9987552165985107,0.0,0.0,0.999896764755249,0.0,0.0
2019-03-19,0.9999113082885742,0.0,0.0,0.9999088048934937,0.0,0.0
2019-03-22,0.9998732805252075,0.0,0.0,0.9998732805252075,0.0,0.0
2019-03-28,0.999772846698761,0.0,0.0,0.7811396718025208,0.0,0.0
2019-04-16,0.999913215637207,0.0,0.0,0.999913215637207,0.0,0.0
2019-04-27,0.8877696394920349,0.0,0.0,0.0,0.0,0.8524171113967896
2019-05-14,0.9998966455459595,0.0,0.0,0.9998966455459595,0.0,0.0
2019-05-16,0.999786913394928,0.0,0.0,0.999786913394928,0.0,0.0
2019-05-30,0.9998922348022461,0.0,0.0,0.0,0.9967989921569824,0.0
2019-07-19,0.9986507296562195,0.0,0.0,0.9986507296562195,0.0,0.0
2019-07-26,0.9998987913131714,0.0,0.0,0.9998400211334229,0.0,0.0
2019-07-28,0.0,0.9394781589508057,0.0,0.0,0.9394781589508057,0.0
2019-07-29,0.0,0.9997615218162537,0.0,0.0,0.7853323817253113,0.0
2019-07-30,0.9331218322118123,0.0,0.06587524016698201,0.9331364154815673,0.0,0.06587524016698201
2019-07-31,0.8632126037530073,0.06973872128434068,0.05171420489709208,0.8906146527275326,0.057030944842991864,0.03606011923842543
