发布时间,标题中性分数,标题积极分数,标题消极分数,评论中性分数,评论积极分数,评论消极分数
2014-10-18,0.9998946189880371,0.0,0.0,0.9999082088470459,0.0,0.0
2014-11-13,0.9999052286148071,0.0,0.0,0.9998699426651001,0.0,0.0
2014-11-24,0.9994828402996063,0.0,0.0,0.9998787641525269,0.0,0.0
2014-11-28,0.9999057054519653,0.0,0.0,0.9999123811721802,0.0,0.0
2014-12-05,0.9998948574066162,0.0,0.0,0.9801214933395386,0.0,0.0
2014-12-11,0.9999102354049683,0.0,0.0,0.9998939037322998,0.0,0.0
2014-12-14,0.9998968839645386,0.0,0.0,0.9998968839645386,0.0,0.0
2014-12-15,0.9996299743652344,0.0,0.0,0.999901533126831,0.0,0.0
2014-12-17,0.9998931884765625,0.0,0.0,0.0,0.0,0.9994888305664062
2014-12-18,0.5554783675405714,0.22092338403066,0.22199098269144693,0.6660383409923978,0.11086665921741062,0.22199098269144693
2014-12-19,0.8325977176427841,0.0,0.16654892762502035,0.8326017707586288,0.0,0.16654892762502035
2014-12-20,0.9998986721038818,0.0,0.0,0.9998986721038818,0.0,0.0
2014-12-22,0.826109630720956,0.028547556059701103,0.1393507787159511,0.824520891053336,0.05709767171314784,0.11079062564032419
2014-12-23,0.8264647475604353,0.03447220654323183,0.1378515835466056,0.7229646937600498,0.06894378415469465,0.19985239053594656
2014-12-24,0.7725360583175312,0.12630465626716614,0.0898817317052321,0.7715190892869775,0.1357932605526664,0.08991561965508894
2014-12-25,0.9999013543128967,0.0,0.0,0.9998874068260193,0.0,0.0
2014-12-26,0.777656786971622,0.2085382276111179,0.0,0.7746863894992404,0.22101077106263903,0.0
2014-12-27,0.24997150897979736,0.4842039942741394,0.24989034235477448,0.65122951567173,0.0,0.24861814081668854
2014-12-29,0.7630212642252445,0.12136336043477058,0.062475163489580154,0.7372848428785801,0.124273631721735,0.12484569102525711
2014-12-30,0.8181013410741632,0.09088507023724643,0.08847246928648515,0.9090006784959273,0.09088507023724643,0.0
2014-12-31,0.9075989506461404,0.0,0.09083053740588101,0.817699437791651,0.09085978703065352,0.09077863801609386
2015-01-01,0.9999045133590698,0.0,0.0,0.9999045133590698,0.0,0.0
2015-01-04,0.7998918414115905,0.0,0.19991198778152466,0.7998744249343872,0.0,0.1998951554298401
2015-01-05,0.7271891561421481,0.25408522107384424,0.0,0.8095083019950173,0.09088036147030917,0.08994723450053822
2015-01-06,0.9998967051506042,0.0,0.0,0.894545066356659,0.09997596144676209,0.0
2015-01-07,0.7004809379577637,0.24957873672246933,0.0,0.7573857270181179,0.12496297806501389,0.0
2015-01-08,0.7327428301175435,0.0,0.26549965937932335,0.8564367294311523,0.0,0.13328011830647787
2015-01-09,0.7586179205349514,0.13962495752743312,0.07091606514794487,0.6871300722871508,0.28207205874579294,0.0
2015-01-11,0.9983094930648804,0.0,0.0,0.9983094930648804,0.0,0.0
2015-01-12,0.666567325592041,0.08327014247576396,0.24856454133987427,0.8330080608526865,0.0,0.16613537073135376
2015-01-13,0.5898625227538022,0.27246916835958307,0.13399026881564746,0.6350192346356132,0.36300939321517944,0.0
2015-01-14,0.4443904028998481,0.11105981138017443,0.4251154727405972,0.6665858758820428,0.11097964975568983,0.21909828980763754
2015-01-15,0.8981012761592865,0.0,0.09829283952713012,0.6818570196628571,0.19958280324935912,0.06504413485527039
2015-01-16,0.749825452764829,0.16536360482374826,0.08330167333285014,0.6375489234924316,0.24882009625434875,0.08330175280570984
2015-01-17,0.999903400739034,0.0,0.0,0.999903400739034,0.0,0.0
2015-01-18,0.9999000430107117,0.0,0.0,0.8332536816596985,0.0,0.1666000783443451
2015-01-19,0.743074044585228,0.17801164516380855,0.06641038613659996,0.8158918470144272,0.17800251713820867,0.0
2015-01-20,0.8937274437201651,0.10523431238375212,0.0,0.8260906997479891,0.10523194074630737,0.051275708173450674
2015-01-21,0.7081287478407224,0.20820243656635284,0.08097167313098907,0.6665696476896604,0.16606241961320242,0.15300271411736807
2015-01-22,0.7475277408957481,0.18744288384914398,0.06245724856853485,0.7979076653718948,0.17738913372159004,0.0
2015-01-23,0.7562400945301714,0.17233977030063496,0.06472369720195902,0.7804926058341717,0.171629235662263,0.034456475027676285
2015-01-24,0.9999080896377563,0.0,0.0,0.0,0.9962347149848938,0.0
2015-01-25,0.4418257176876068,0.49983933568000793,0.0,0.7454004138708115,0.24991163611412048,0.0
2015-01-26,0.8332438071568807,0.16234405835469565,0.0,0.8332429925600687,0.16234405835469565,0.0
2015-01-27,0.795912230014801,0.0,0.1998612403869629,0.7959200739860535,0.0,0.1998612403869629
2015-01-30,0.6666080554326376,0.0,0.3330194354057312,0.999789814154307,0.0,0.0
2015-02-05,0.49995529651641846,0.49988439679145813,0.0,0.4998590648174286,0.49949023127555847,0.0
